id,userid,t,component,action,target,objectid,objecttable,courseid,relateduserid,extra_info,crud,assignment_id
164924018,239,1573601505,core,viewed,course,,,2060,,N;,r,
165048951,275,1573649832,core,viewed,course,,,2060,,N;,r,
164972489,438,1573608521,core,viewed,course,,,2060,,N;,r,
165062775,739,1573653721,core,viewed,course,,,2060,,N;,r,
164878749,1479,1573593097,core,viewed,course,,,2060,,N;,r,
165292820,1694,1573701565,core,viewed,course,,,2060,,N;,r,
165906993,1816,1574095283,core,viewed,course,,,2060,,N;,r,
165820758,1989,1574041208,core,viewed,course,,,2060,,N;,r,
165193959,3055,1573684360,core,viewed,course,,,2060,,N;,r,
165911825,3129,1574096566,core,viewed,course,,,2060,,N;,r,
165132481,3198,1573672074,core,viewed,course,,,2060,,N;,r,
165375302,3236,1573749747,core,viewed,course,,,2060,,N;,r,
164890777,3293,1573596037,core,viewed,course,,,2060,,N;,r,
165938356,3314,1574103243,core,viewed,course,,,2060,,N;,r,
165337550,3317,1573737353,core,viewed,course,,,2060,,N;,r,
165923587,3363,1574099437,core,viewed,course,,,2060,,N;,r,
166332914,3433,1574218093,core,viewed,course,,,2060,,N;,r,
164945321,3491,1573604676,core,viewed,course,,,2060,,N;,r,
165125317,3597,1573670131,core,viewed,course,,,2060,,N;,r,
166298037,3762,1574209933,core,viewed,course,,,2060,,N;,r,
166240873,3917,1574201332,core,viewed,course,,,2060,,N;,r,
166052373,3964,1574128313,core,viewed,course,,,2060,,N;,r,
165705866,5323,1573925509,core,viewed,course,,,2060,,N;,r,
164852495,5444,1573585820,mod_quiz,viewed,course_module,12841.0,quiz,2060,,N;,r,12841.0
166049523,5727,1574127506,core,viewed,course,,,2060,,N;,r,
166237435,5748,1574200606,core,viewed,course,,,2060,,N;,r,
165073125,6434,1573655887,core,viewed,course,,,2060,,N;,r,
164985545,6564,1573611186,core,viewed,course,,,2060,,N;,r,
164982767,7159,1573610651,core,viewed,course,,,2060,,N;,r,
165035806,7184,1573645955,core,viewed,course,,,2060,,N;,r,
165032520,7204,1573645003,core,viewed,course,,,2060,,N;,r,
164982098,7329,1573610504,core,viewed,course,,,2060,,N;,r,
165050388,7574,1573650317,core,viewed,course,,,2060,,N;,r,
166830719,7774,1574413562,core,viewed,course,,,2060,,N;,r,
164966685,7991,1573607360,core,viewed,course,,,2060,,N;,r,
165753794,8102,1573987446,core,viewed,course,,,2060,,N;,r,
164931894,8196,1573602627,core,viewed,course,,,2060,,N;,r,
166328623,8463,1574216792,core,viewed,course,,,2060,,N;,r,
166200824,8691,1574190607,core,viewed,course,,,2060,,N;,r,
166185243,8850,1574187294,core,viewed,course,,,2060,,N;,r,
165066093,9530,1573654539,core,viewed,course,,,2060,,N;,r,
165021340,9760,1573640926,core,viewed,course,,,2060,,N;,r,
166093673,9875,1574162402,core,viewed,course,,,2060,,N;,r,
166222308,9924,1574196716,core,viewed,course,,,2060,,N;,r,
166222539,9929,1574196767,core,viewed,course,,,2060,,N;,r,
165033036,10174,1573645151,core,viewed,course,,,2060,,N;,r,
164931290,10277,1573602546,core,viewed,course,,,2060,,N;,r,
165231654,10444,1573690261,core,viewed,course,,,2060,,N;,r,
164930408,10803,1573602432,core,viewed,course,,,2060,,N;,r,
164996505,10954,1573613725,core,viewed,course,,,2060,,N;,r,
167264565,10995,1574707356,core,viewed,course,,,2060,,N;,r,
165744315,11315,1573959943,core,viewed,course,,,2060,,N;,r,
165756757,11456,1573991503,core,viewed,course,,,2060,,N;,r,
165259941,12536,1573694924,core,viewed,course,,,2060,,N;,r,
165889885,13014,1574089638,core,viewed,course,,,2060,,N;,r,
164923035,13338,1573601377,core,viewed,course,,,2060,,N;,r,
165394844,13434,1573754102,core,viewed,course,,,2060,,N;,r,
166245659,13458,1574202247,core,viewed,course,,,2060,,N;,r,
164859464,13545,1573587657,core,viewed,course,,,2060,,N;,r,
164944115,13587,1573604484,core,viewed,course,,,2060,,N;,r,
164891733,13749,1573596216,core,viewed,course,,,2060,,N;,r,
165050666,13845,1573650400,core,viewed,course,,,2060,,N;,r,
165018952,13899,1573639630,core,viewed,course,,,2060,,N;,r,
166381035,13909,1574252860,core,viewed,course,,,2060,,N;,r,
166091887,13984,1574161589,core,viewed,course,,,2060,,N;,r,
164884325,14059,1573594583,core,viewed,course,,,2060,,N;,r,
166301785,14255,1574210681,core,viewed,course,,,2060,,N;,r,
164897329,14297,1573597235,core,viewed,course,,,2060,,N;,r,
165109282,14319,1573665866,core,viewed,course,,,2060,,N;,r,
165050006,14516,1573650199,core,viewed,course,,,2060,,N;,r,
166598123,15029,1574301658,core,viewed,course,,,2060,,N;,r,
166664332,15038,1574346587,core,viewed,course,,,2060,,N;,r,
164964989,15042,1573607042,core,viewed,course,,,2060,,N;,r,
165812295,15123,1574035651,core,viewed,course,,,2060,,N;,r,
165457853,15316,1573768305,core,viewed,course,,,2060,,N;,r,
166093108,15620,1574162185,core,viewed,course,,,2060,,N;,r,
