id,userid,t,component,action,target,objectid,objecttable,courseid,relateduserid,extra_info,crud,assignment_id
168531242,137351,1575342302,mod_quiz,viewed,course_module,12843.0,quiz,2060,,N;,r,12843.0
168531266,137351,1575342326,mod_quiz,viewed,course_module,12838.0,quiz,2060,,N;,r,12838.0
168531341,137351,1575342343,mod_quiz,viewed,course_module,12844.0,quiz,2060,,N;,r,12844.0
168531344,87732,1575342346,mod_quiz,viewed,course_module,12844.0,quiz,2060,,N;,r,12844.0
168531372,93407,1575342360,mod_forum,viewed,course_module,26787.0,forum,2060,,N;,r,
168531475,138044,1575342452,mod_quiz,submitted,attempt,2415764.0,quiz_attempts,2060,138044.0,"a:2:{s:11:""submitterid"";s:6:""138044"";s:6:""quizid"";s:5:""12843"";}",u,12843.0
168531524,87732,1575342491,mod_quiz,viewed,course_module,12844.0,quiz,2060,,N;,r,12844.0
168531558,138044,1575342534,mod_quiz,viewed,course_module,12841.0,quiz,2060,,N;,r,12841.0
168531613,122718,1575342581,mod_quiz,viewed,course_module,12843.0,quiz,2060,,N;,r,12843.0
168531652,92412,1575342599,mod_quiz,viewed,course_module,12843.0,quiz,2060,,N;,r,12843.0
168531655,92412,1575342604,mod_quiz,started,attempt,2415840.0,quiz_attempts,2060,92412.0,N;,c,12843.0
168531673,138044,1575342621,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
168531683,93117,1575342627,mod_forum,viewed,course_module,26785.0,forum,2060,,N;,r,
168531702,138044,1575342643,mod_quiz,viewed,course_module,12841.0,quiz,2060,,N;,r,12841.0
168531717,93117,1575342658,mod_quiz,viewed,course_module,12843.0,quiz,2060,,N;,r,12843.0
168531732,93117,1575342664,mod_quiz,started,attempt,2415841.0,quiz_attempts,2060,93117.0,N;,c,12843.0
168531739,138044,1575342667,mod_quiz,viewed,course_module,12843.0,quiz,2060,,N;,r,12843.0
168531835,138044,1575342744,mod_quiz,viewed,course_module,12844.0,quiz,2060,,N;,r,12844.0
168531840,138044,1575342752,mod_quiz,started,attempt,2415842.0,quiz_attempts,2060,138044.0,N;,c,12844.0
168531864,124008,1575342777,mod_quiz,viewed,course_module,12843.0,quiz,2060,,N;,r,12843.0
168531866,122718,1575342778,mod_forum,viewed,course_module,26785.0,forum,2060,,N;,r,
168531870,122102,1575342784,mod_resource,viewed,course_module,5846.0,resource,2060,,N;,r,
168531871,124008,1575342785,mod_folder,viewed,course_module,1301.0,folder,2060,,N;,r,
168531875,124008,1575342792,mod_folder,viewed,course_module,1300.0,folder,2060,,N;,r,
168531880,124008,1575342799,mod_folder,viewed,course_module,1299.0,folder,2060,,N;,r,
168531884,124008,1575342806,mod_folder,viewed,course_module,1298.0,folder,2060,,N;,r,
168531974,124008,1575342844,mod_folder,downloaded,all_files,1298.0,folder,2060,,N;,r,
168531978,92412,1575342844,mod_quiz,submitted,attempt,2415840.0,quiz_attempts,2060,92412.0,"a:2:{s:11:""submitterid"";s:5:""92412"";s:6:""quizid"";s:5:""12843"";}",u,12843.0
168532031,92412,1575342882,mod_quiz,viewed,course_module,12844.0,quiz,2060,,N;,r,12844.0
168532041,92412,1575342894,mod_quiz,started,attempt,2415845.0,quiz_attempts,2060,92412.0,N;,c,12844.0
168532065,124008,1575342929,mod_folder,viewed,course_module,1299.0,folder,2060,,N;,r,
168532073,124008,1575342934,mod_folder,downloaded,all_files,1299.0,folder,2060,,N;,r,
168532082,124008,1575342942,mod_folder,viewed,course_module,1300.0,folder,2060,,N;,r,
168532088,124008,1575342947,mod_folder,downloaded,all_files,1300.0,folder,2060,,N;,r,
168532099,124008,1575342952,mod_folder,viewed,course_module,1301.0,folder,2060,,N;,r,
168532102,124008,1575342954,mod_folder,downloaded,all_files,1301.0,folder,2060,,N;,r,
168532117,122718,1575342987,mod_forum,viewed,discussion,102020.0,forum_discussions,2060,,N;,r,
168532143,92412,1575343000,mod_quiz,submitted,attempt,2415845.0,quiz_attempts,2060,92412.0,"a:2:{s:11:""submitterid"";s:5:""92412"";s:6:""quizid"";s:5:""12844"";}",u,12844.0
168532156,92412,1575343009,mod_quiz,viewed,course_module,12844.0,quiz,2060,,N;,r,12844.0
168532215,137157,1575343056,mod_quiz,viewed,course_module,12843.0,quiz,2060,,N;,r,12843.0
168532225,87732,1575343062,mod_quiz,viewed,course_module,12844.0,quiz,2060,,N;,r,12844.0
168532249,87732,1575343087,mod_forum,viewed,course_module,26789.0,forum,2060,,N;,r,
168532264,137665,1575343101,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
168532286,137665,1575343115,mod_quiz,viewed,course_module,12843.0,quiz,2060,,N;,r,12843.0
168532290,137665,1575343120,mod_quiz,started,attempt,2415848.0,quiz_attempts,2060,137665.0,N;,c,12843.0
168532352,93407,1575343184,mod_forum,viewed,discussion,101319.0,forum_discussions,2060,,N;,r,
168532371,137665,1575343197,mod_folder,viewed,course_module,1301.0,folder,2060,,N;,r,
168532401,137474,1575343229,mod_quiz,viewed,course_module,12843.0,quiz,2060,,N;,r,12843.0
168532607,138282,1575343423,mod_forum,viewed,course_module,26785.0,forum,2060,,N;,r,
168532633,138282,1575343437,mod_forum,viewed,discussion,102019.0,forum_discussions,2060,,N;,r,
168532637,87398,1575343442,mod_forum,created,post,938985.0,forum_posts,2060,,"a:3:{s:12:""discussionid"";s:6:""102020"";s:7:""forumid"";s:5:""26785"";s:9:""forumtype"";s:7:""general"";}",c,
168532638,87398,1575343443,mod_forum,viewed,discussion,102020.0,forum_discussions,2060,,N;,r,
168532642,138282,1575343448,mod_forum,viewed,discussion,102020.0,forum_discussions,2060,,N;,r,
168532668,90085,1575343477,mod_quiz,viewed,course_module,12843.0,quiz,2060,,N;,r,12843.0
168532687,90085,1575343497,mod_quiz,viewed,course_module,12844.0,quiz,2060,,N;,r,12844.0
168532706,90085,1575343521,mod_quiz,started,attempt,2415856.0,quiz_attempts,2060,90085.0,N;,c,12844.0
168532738,123080,1575343549,mod_quiz,viewed,course_module,12838.0,quiz,2060,,N;,r,12838.0
168532752,123080,1575343562,mod_quiz,started,attempt,2415857.0,quiz_attempts,2060,123080.0,N;,c,12838.0
168532865,123080,1575343665,mod_quiz,viewed,course_module,12843.0,quiz,2060,,N;,r,12843.0
168532878,123080,1575343671,mod_quiz,started,attempt,2415859.0,quiz_attempts,2060,123080.0,N;,c,12843.0
168532895,90085,1575343687,mod_quiz,viewed,course_module,12844.0,quiz,2060,,N;,r,12844.0
168533009,138282,1575343800,mod_forum,created,post,938987.0,forum_posts,2060,,"a:3:{s:12:""discussionid"";s:6:""102020"";s:7:""forumid"";s:5:""26785"";s:9:""forumtype"";s:7:""general"";}",c,
168533014,138282,1575343800,mod_forum,viewed,discussion,102020.0,forum_discussions,2060,,N;,r,
168533020,93407,1575343809,mod_forum,created,post,938988.0,forum_posts,2060,,"a:3:{s:12:""discussionid"";s:6:""101319"";s:7:""forumid"";s:5:""26787"";s:9:""forumtype"";s:6:""single"";}",c,
168533021,93407,1575343810,mod_forum,viewed,course_module,26787.0,forum,2060,,N;,r,
168533058,93407,1575343899,mod_forum,viewed,course_module,26787.0,forum,2060,,N;,r,
168533056,93407,1575343899,mod_forum,updated,post,938988.0,forum_posts,2060,,"a:3:{s:12:""discussionid"";s:6:""101319"";s:7:""forumid"";s:5:""26787"";s:9:""forumtype"";s:6:""single"";}",u,
168533082,137256,1575343938,mod_quiz,viewed,course_module,12843.0,quiz,2060,,N;,r,12843.0
168533111,137256,1575343978,mod_quiz,submitted,attempt,2415820.0,quiz_attempts,2060,137256.0,"a:2:{s:11:""submitterid"";s:6:""137256"";s:6:""quizid"";s:5:""12843"";}",u,12843.0
168533124,88402,1575343991,mod_quiz,viewed,course_module,12843.0,quiz,2060,,N;,r,12843.0
168533161,78449,1575344052,mod_quiz,viewed,course_module,12843.0,quiz,2060,,N;,r,12843.0
168533160,88402,1575344052,mod_quiz,started,attempt,2415864.0,quiz_attempts,2060,88402.0,N;,c,12843.0
168533168,93407,1575344058,mod_forum,viewed,course_module,26788.0,forum,2060,,N;,r,
168533203,78449,1575344122,mod_quiz,submitted,attempt,2414406.0,quiz_attempts,2060,78449.0,"a:2:{s:11:""submitterid"";s:5:""78449"";s:6:""quizid"";s:5:""12843"";}",u,12843.0
168533209,78449,1575344133,mod_quiz,viewed,course_module,12843.0,quiz,2060,,N;,r,12843.0
168533269,87732,1575344210,mod_quiz,viewed,course_module,12844.0,quiz,2060,,N;,r,12844.0
168533270,87732,1575344215,mod_quiz,started,attempt,2415866.0,quiz_attempts,2060,87732.0,N;,c,12844.0
168533283,138735,1575344256,mod_forum,viewed,course_module,26788.0,forum,2060,,N;,r,
168533375,138735,1575344340,mod_forum,viewed,course_module,26786.0,forum,2060,,N;,r,
168533406,138735,1575344391,mod_forum,created,post,938992.0,forum_posts,2060,,"a:3:{s:12:""discussionid"";s:6:""101318"";s:7:""forumid"";s:5:""26786"";s:9:""forumtype"";s:6:""single"";}",c,
168533407,138735,1575344392,mod_forum,viewed,course_module,26786.0,forum,2060,,N;,r,
168533418,93407,1575344407,mod_forum,viewed,discussion,101320.0,forum_discussions,2060,,N;,r,
168533428,138735,1575344427,mod_forum,viewed,course_module,26787.0,forum,2060,,N;,r,
168533447,138735,1575344447,mod_forum,created,post,938993.0,forum_posts,2060,,"a:3:{s:12:""discussionid"";s:6:""101319"";s:7:""forumid"";s:5:""26787"";s:9:""forumtype"";s:6:""single"";}",c,
168533448,138735,1575344447,mod_forum,viewed,course_module,26787.0,forum,2060,,N;,r,
168533484,138735,1575344498,mod_forum,viewed,course_module,26788.0,forum,2060,,N;,r,
168533483,138735,1575344498,mod_forum,created,post,938994.0,forum_posts,2060,,"a:3:{s:12:""discussionid"";s:6:""101320"";s:7:""forumid"";s:5:""26788"";s:9:""forumtype"";s:6:""single"";}",c,
168533498,138735,1575344519,mod_forum,viewed,course_module,26785.0,forum,2060,,N;,r,
168533508,138735,1575344529,mod_forum,viewed,discussion,102020.0,forum_discussions,2060,,N;,r,
168533515,138735,1575344551,mod_forum,viewed,course_module,26785.0,forum,2060,,N;,r,
168533518,138735,1575344558,mod_forum,viewed,discussion,102020.0,forum_discussions,2060,,N;,r,
168533520,138735,1575344563,mod_forum,viewed,discussion,102019.0,forum_discussions,2060,,N;,r,
168533549,93407,1575344628,mod_forum,created,post,938995.0,forum_posts,2060,,"a:3:{s:12:""discussionid"";s:6:""101320"";s:7:""forumid"";s:5:""26788"";s:9:""forumtype"";s:6:""single"";}",c,
168533550,93407,1575344628,mod_forum,viewed,course_module,26788.0,forum,2060,,N;,r,
168533561,88402,1575344644,mod_quiz,submitted,attempt,2415864.0,quiz_attempts,2060,88402.0,"a:2:{s:11:""submitterid"";s:5:""88402"";s:6:""quizid"";s:5:""12843"";}",u,12843.0
168533596,137705,1575344720,mod_quiz,viewed,course_module,12838.0,quiz,2060,,N;,r,12838.0
168533608,137705,1575344744,mod_quiz,viewed,course_module,12843.0,quiz,2060,,N;,r,12843.0
168533662,137705,1575344761,mod_quiz,started,attempt,2415871.0,quiz_attempts,2060,137705.0,N;,c,12843.0
168533759,111853,1575344925,mod_quiz,viewed,course_module,12843.0,quiz,2060,,N;,r,12843.0
168533776,139112,1575344959,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
168533781,139112,1575344971,mod_quiz,viewed,course_module,12843.0,quiz,2060,,N;,r,12843.0
168533791,139112,1575344985,mod_forum,viewed,course_module,26785.0,forum,2060,,N;,r,
168533794,93407,1575344992,mod_quiz,viewed,course_module,12844.0,quiz,2060,,N;,r,12844.0
168533797,139112,1575344998,mod_resource,viewed,course_module,5846.0,resource,2060,,N;,r,
168533816,137705,1575345047,mod_quiz,submitted,attempt,2415871.0,quiz_attempts,2060,137705.0,"a:2:{s:11:""submitterid"";s:6:""137705"";s:6:""quizid"";s:5:""12843"";}",u,12843.0
168533820,93407,1575345054,mod_quiz,viewed,course_module,12843.0,quiz,2060,,N;,r,12843.0
168533822,137705,1575345056,mod_quiz,viewed,course_module,12843.0,quiz,2060,,N;,r,12843.0
168533826,93407,1575345068,mod_quiz,viewed,course_module,12844.0,quiz,2060,,N;,r,12844.0
168533836,93407,1575345078,mod_quiz,started,attempt,2415874.0,quiz_attempts,2060,93407.0,N;,c,12844.0
168533841,137705,1575345091,mod_quiz,viewed,course_module,12844.0,quiz,2060,,N;,r,12844.0
168533844,139112,1575345095,mod_quiz,viewed,course_module,12843.0,quiz,2060,,N;,r,12843.0
168533866,90085,1575345139,mod_quiz,viewed,course_module,12844.0,quiz,2060,,N;,r,12844.0
168534180,138899,1575345601,mod_quiz,viewed,course_module,12841.0,quiz,2060,,N;,r,12841.0
168534184,138899,1575345611,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
168534191,138899,1575345625,mod_quiz,viewed,course_module,12843.0,quiz,2060,,N;,r,12843.0
168534316,137157,1575345766,mod_quiz,viewed,course_module,12843.0,quiz,2060,,N;,r,12843.0
168534317,137157,1575345772,mod_quiz,started,attempt,2415879.0,quiz_attempts,2060,137157.0,N;,c,12843.0
168534400,90085,1575346022,mod_quiz,viewed,course_module,12844.0,quiz,2060,,N;,r,12844.0
168534419,137157,1575346055,mod_quiz,submitted,attempt,2415879.0,quiz_attempts,2060,137157.0,"a:2:{s:11:""submitterid"";s:6:""137157"";s:6:""quizid"";s:5:""12843"";}",u,12843.0
168534424,137157,1575346067,mod_quiz,viewed,course_module,12843.0,quiz,2060,,N;,r,12843.0
168534428,137157,1575346078,mod_forum,viewed,course_module,26785.0,forum,2060,,N;,r,
168534432,137157,1575346092,mod_forum,viewed,discussion,102020.0,forum_discussions,2060,,N;,r,
168534517,111853,1575346183,mod_quiz,viewed,course_module,12844.0,quiz,2060,,N;,r,12844.0
168534540,111853,1575346240,mod_quiz,viewed,course_module,12843.0,quiz,2060,,N;,r,12843.0
168534583,137157,1575346391,mod_forum,viewed,course_module,26785.0,forum,2060,,N;,r,
168534585,137157,1575346394,mod_forum,viewed,discussion,102019.0,forum_discussions,2060,,N;,r,
168534601,139112,1575346432,mod_quiz,submitted,attempt,2399942.0,quiz_attempts,2060,139112.0,"a:2:{s:11:""submitterid"";s:6:""139112"";s:6:""quizid"";s:5:""12843"";}",u,12843.0
168534607,137157,1575346442,mod_forum,viewed,course_module,26786.0,forum,2060,,N;,r,
168534614,137157,1575346479,mod_forum,viewed,discussion,101318.0,forum_discussions,2060,,N;,r,
168534631,139112,1575346527,mod_quiz,viewed,course_module,12843.0,quiz,2060,,N;,r,12843.0
168534645,139112,1575346555,mod_forum,viewed,course_module,26785.0,forum,2060,,N;,r,
168534648,139112,1575346560,mod_forum,viewed,discussion,102020.0,forum_discussions,2060,,N;,r,
168534665,137157,1575346612,mod_forum,viewed,course_module,26786.0,forum,2060,,N;,r,
168534664,137157,1575346612,mod_forum,created,post,938999.0,forum_posts,2060,,"a:3:{s:12:""discussionid"";s:6:""101318"";s:7:""forumid"";s:5:""26786"";s:9:""forumtype"";s:6:""single"";}",c,
168534671,139112,1575346622,mod_forum,viewed,discussion,102020.0,forum_discussions,2060,,N;,r,
168534681,137157,1575346637,mod_forum,viewed,course_module,26787.0,forum,2060,,N;,r,
168534920,139372,1575347098,mod_forum,viewed,course_module,26789.0,forum,2060,,N;,r,
168534976,138735,1575347113,mod_forum,viewed,discussion,102020.0,forum_discussions,2060,,N;,r,
168535003,139372,1575347224,mod_quiz,viewed,course_module,12844.0,quiz,2060,,N;,r,12844.0
168535006,139372,1575347240,mod_quiz,started,attempt,2415891.0,quiz_attempts,2060,139372.0,N;,c,12844.0
168535010,138735,1575347245,mod_forum,created,post,939000.0,forum_posts,2060,,"a:3:{s:12:""discussionid"";s:6:""102020"";s:7:""forumid"";s:5:""26785"";s:9:""forumtype"";s:7:""general"";}",c,
168535011,138735,1575347246,mod_forum,viewed,discussion,102020.0,forum_discussions,2060,,N;,r,
168535212,138397,1575347888,mod_quiz,viewed,course_module,12841.0,quiz,2060,,N;,r,12841.0
168535216,138397,1575347900,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
168535222,138397,1575347915,mod_quiz,viewed,course_module,12843.0,quiz,2060,,N;,r,12843.0
168535228,138397,1575347947,mod_quiz,viewed,course_module,12844.0,quiz,2060,,N;,r,12844.0
168535232,138735,1575347959,mod_forum,created,post,939004.0,forum_posts,2060,,"a:3:{s:12:""discussionid"";s:6:""102019"";s:7:""forumid"";s:5:""26785"";s:9:""forumtype"";s:7:""general"";}",c,
168535233,138735,1575347960,mod_forum,viewed,discussion,102019.0,forum_discussions,2060,,N;,r,
168535236,138397,1575347966,mod_quiz,viewed,course_module,12843.0,quiz,2060,,N;,r,12843.0
168535242,138397,1575347988,mod_resource,viewed,course_module,5846.0,resource,2060,,N;,r,
168535243,138397,1575347993,mod_quiz,viewed,course_module,12838.0,quiz,2060,,N;,r,12838.0
168535246,138397,1575348003,mod_quiz,started,attempt,2415892.0,quiz_attempts,2060,138397.0,N;,c,12838.0
168535248,138735,1575348010,mod_forum,viewed,course_module,26785.0,forum,2060,,N;,r,
168535251,138735,1575348013,mod_forum,viewed,course_module,26785.0,forum,2060,,N;,r,
168535555,138397,1575348615,mod_quiz,viewed,course_module,12843.0,quiz,2060,,N;,r,12843.0
168535561,138397,1575348625,mod_quiz,started,attempt,2415894.0,quiz_attempts,2060,138397.0,N;,c,12843.0
168536766,88135,1575352382,mod_forum,viewed,course_module,26786.0,forum,2060,,N;,r,
168536769,88135,1575352399,mod_quiz,viewed,course_module,12843.0,quiz,2060,,N;,r,12843.0
168536815,139017,1575352580,mod_quiz,viewed,course_module,12841.0,quiz,2060,,N;,r,12841.0
168536818,139017,1575352602,mod_quiz,viewed,course_module,12843.0,quiz,2060,,N;,r,12843.0
168536821,139017,1575352622,mod_resource,viewed,course_module,5846.0,resource,2060,,N;,r,
168538391,136713,1575359358,mod_quiz,viewed,course_module,12843.0,quiz,2060,,N;,r,12843.0
168538399,138348,1575359415,mod_quiz,viewed,course_module,12843.0,quiz,2060,,N;,r,12843.0
168538398,138348,1575359415,mod_quiz,viewed,course_module,12843.0,quiz,2060,,N;,r,12843.0
168538403,138348,1575359452,mod_forum,viewed,course_module,26789.0,forum,2060,,N;,r,
168538404,138348,1575359453,mod_forum,viewed,course_module,26789.0,forum,2060,,N;,r,
168538408,138348,1575359460,mod_quiz,viewed,course_module,12844.0,quiz,2060,,N;,r,12844.0
168538407,138348,1575359460,mod_quiz,viewed,course_module,12844.0,quiz,2060,,N;,r,12844.0
168538409,138348,1575359467,mod_quiz,started,attempt,2415915.0,quiz_attempts,2060,138348.0,N;,c,12844.0
168538464,136713,1575359496,mod_quiz,started,attempt,2415916.0,quiz_attempts,2060,136713.0,N;,c,12843.0
168538524,139264,1575359808,mod_quiz,viewed,course_module,12844.0,quiz,2060,,N;,r,12844.0
168538526,139264,1575359816,mod_quiz,started,attempt,2415918.0,quiz_attempts,2060,139264.0,N;,c,12844.0
168538539,139264,1575359920,mod_quiz,viewed,course_module,12838.0,quiz,2060,,N;,r,12838.0
168538541,139264,1575359928,mod_quiz,started,attempt,2415919.0,quiz_attempts,2060,139264.0,N;,c,12838.0
168538639,136713,1575360176,mod_quiz,submitted,attempt,2415916.0,quiz_attempts,2060,136713.0,"a:2:{s:11:""submitterid"";s:6:""136713"";s:6:""quizid"";s:5:""12843"";}",u,12843.0
168539135,138202,1575361939,mod_quiz,viewed,course_module,12843.0,quiz,2060,,N;,r,12843.0
