sequence_size;sequence;total;total_time_span;avg_time_span;i_support;s_support;ids;grade_avg;grade_avg_deviation;grade_median;grade_mode;max_grade
2;resource_vis>assignment_vis;835;633934;346270.44311377243;21648;835;835;1.3874251497005987;0.5181570876406592;1.5;1.5;2
2;resource_vis>resource_vis;1102;633934;327487.667876588;37230;1102;1102;1.3983666061705988;0.5057499174601974;1.5;1.5;2
2;resource_vis>assignment_sub;1829;633943;267584.6429743029;44736;1829;1829;1.4149808638600327;0.5016545514803153;1.5;1.5;2
2;resource_vis>assignment_try;716;633918;317847.7625698324;6714;716;716;1.4043296089385475;0.5020191095076918;1.5;1.5;2
2;resource_vis>forum_vis;620;633918;353882.45967741933;36838;620;620;1.428225806451613;0.4874118923521412;1.5;1.5;2
2;resource_vis>forum_vis_SOME;334;632920;377831.1407185629;13238;334;334;1.4835329341317365;0.44908793502671635;1.5;1.5;2
2;resource_vis>forum_participation;200;633077;385508.14;2310;200;200;1.465;0.4580656291439198;1.5;1.5;2
2;assignment_vis>resource_vis;878;633832;326299.8621867882;18940;878;878;1.39749430523918;0.5085074269607675;1.5;1.5;2
2;assignment_vis>assignment_sub;1237;633934;309783.3168957154;26609;1237;1237;1.372271624898949;0.5196922451991103;1.5;1.5;2
2;assignment_vis>assignment_try;483;633843;356889.0103519669;3822;483;483;1.3799171842650104;0.5223931459508763;1.5;1.5;2
2;assignment_vis>assignment_vis;718;633934;367522.3997214485;15184;718;718;1.3523676880222841;0.5259659042175541;1.5;1.5;2
2;assignment_vis>forum_vis_SOME;207;633575;407293.99033816427;1242;207;207;1.4734299516908214;0.45209257114550017;1.5;1.5;2
2;assignment_vis>forum_vis;431;633761;374137.6821345708;11906;431;431;1.3863109048723898;0.5056178222562302;1.5;1.5;2
2;assignment_vis>resource_vis_SOME;187;633002;365475.9946524064;1122;187;187;1.286096256684492;0.5629408679358462;1.5;1.5;2
2;assignment_sub>assignment_vis;225;633747;362303.91555555555;820;225;225;1.3;0.5669467095138409;1.5;1.5;2
2;assignment_sub>assignment_sub;262;633747;344207.13740458013;883;262;262;1.2958015267175573;0.5425404329420717;1.5;1.5;2
2;assignment_try>resource_vis;513;633852;326730.8050682261;3990;513;513;1.3508771929824561;0.521682421921714;1.5;1.5;2
2;assignment_try>assignment_sub;974;633927;293539.3398357289;8408;974;974;1.376283367556468;0.5147786578602909;1.5;1.5;2
2;assignment_try>assignment_try;181;633822;432444.2209944751;362;181;181;1.3480662983425415;0.5274246823766503;1.5;1.5;2
2;assignment_try>assignment_vis;440;633918;356825.1204545455;3768;440;440;1.35;0.515367485050158;1.5;1.5;2
2;assignment_try>forum_vis;214;633761;396300.21495327103;428;214;214;1.3364485981308412;0.5253020634918767;1.5;1.5;2
2;assignment_vis_SOME>assignment_vis;185;633822;418038.5027027027;740;185;185;1.2837837837837838;0.540990191943517;1.5;1.5;2
2;assignment_vis_SOME>assignment_sub;185;633822;418038.5027027027;555;185;185;1.2837837837837838;0.540990191943517;1.5;1.5;2
2;forum_vis>resource_vis;517;633726;345973.5918762089;21456;517;517;1.4226305609284333;0.49592373764556147;1.5;1.5;2
2;forum_vis>assignment_try;294;633918;361591.6666666667;2192;294;294;1.4098639455782314;0.4812575767155817;1.5;1.5;2
2;forum_vis>assignment_vis;402;633918;380141.8134328358;10878;402;402;1.3843283582089552;0.5113945255279344;1.5;1.5;2
2;forum_vis>forum_vis_SOME;253;633389;385068.8181818182;11278;253;253;1.4802371541501975;0.4337049037476129;1.5;1.5;2
2;forum_vis>forum_vis;575;633732;348796.30782608694;50584;575;575;1.4339130434782608;0.4786171566808826;1.5;1.5;2
2;forum_vis>forum_participation;227;633732;359958.37885462557;6470;227;227;1.4559471365638768;0.4538891494902145;1.5;1.5;2
2;forum_vis>assignment_sub;748;633918;332084.19251336897;42899;748;748;1.411096256684492;0.49541120679150646;1.5;1.5;2
2;forum_vis_SOME>forum_vis;393;633575;358596.2264631043;29470;393;393;1.474554707379135;0.44246972418561736;1.5;1.5;2
2;forum_vis_SOME>forum_participation;186;633384;368997.32258064515;2136;186;186;1.4489247311827957;0.4606973852654993;1.5;1.5;2
2;forum_vis_SOME>forum_vis_SOME;312;633569;370991.71153846156;16484;312;312;1.482371794871795;0.43612236428503126;1.5;1.5;2
2;forum_vis_SOME>assignment_sub;393;633575;358596.2264631043;20254;393;393;1.474554707379135;0.44246972418561736;1.5;1.5;2
2;forum_vis_SOME>assignment_vis;193;632920;405014.0932642487;1158;193;193;1.4585492227979275;0.45166586205945836;1.5;1.5;2
2;forum_vis_SOME>resource_vis;240;633569;378157.4791666667;4650;240;240;1.4875;0.43614179491533084;1.5;1.5;2
2;forum_participation>forum_vis;214;633732;359264.35046728974;4860;214;214;1.4532710280373833;0.4572458388928801;1.5;1.5;2
2;forum_participation>assignment_sub;227;633732;359958.37885462557;4607;227;227;1.4559471365638768;0.4538891494902145;1.5;1.5;2
2;resource_vis_SOME>resource_vis;424;633859;340327.29009433964;5094;424;424;1.3643867924528301;0.5213009743227769;1.5;1.5;2
