sequence_size;sequence;total;total_time_span;avg_time_span;i_support;s_support;ids;grade_avg;grade_avg_deviation;grade_median;grade_mode;max_grade
2;resource_vis>assignment_vis;1798;633943;271469.786429366;199299;1798;1798;1.4160177975528365;0.5011498672490926;1.5;1.5;2
2;resource_vis>resource_vis;1102;633934;327495.34754990926;122274;1102;1102;1.3983666061705988;0.5057499174601974;1.5;1.5;2
2;resource_vis>assignment_try;1647;633934;270507.94778384943;113340;1647;1647;1.4207650273224044;0.502974044527903;1.5;1.5;2
2;resource_vis>assignment_sub;1829;633943;267590.589393111;157956;1829;1829;1.4149808638600327;0.5016545514803153;1.5;1.5;2
2;resource_vis>assignment_vis_SOME;209;633934;416103.5358851675;1254;209;209;1.3564593301435406;0.5511952916525447;1.5;1.5;2
2;resource_vis>forum_vis;620;633918;353889.73387096776;117372;620;620;1.428225806451613;0.4874118923521412;1.5;1.5;2
2;resource_vis>forum_vis_SOME;334;632929;377835.45808383235;45926;334;334;1.4835329341317365;0.44908793502671635;1.5;1.5;2
2;resource_vis>forum_participation;200;633086;385508.41;8140;200;200;1.465;0.4580656291439198;1.5;1.5;2
2;assignment_vis>resource_vis;1047;633852;308779.7306590258;88450;1047;1047;1.3939828080229226;0.5096882521962879;1.5;1.5;2
2;assignment_vis>assignment_vis;1512;633943;291416.6593915344;168326;1512;1512;1.371362433862434;0.5153051266175808;1.5;1.5;2
2;assignment_vis>assignment_try;2085;633943;248385.67913669065;140077;2085;2085;1.3772182254196643;0.5204862012159001;1.5;1.5;2
2;assignment_vis>assignment_sub;2085;633943;248385.67913669065;188418;2085;2085;1.3772182254196643;0.5204862012159001;1.5;1.5;2
2;assignment_vis>assignment_vis_SOME;207;633918;421127.6231884058;2262;207;207;1.3236714975845412;0.5388499514735862;1.5;1.5;2
2;assignment_vis>forum_vis_SOME;231;633575;401536.3766233766;9180;231;231;1.4545454545454546;0.45095419256778885;1.5;1.5;2
2;assignment_vis>forum_vis;475;633761;366914.4168421053;53056;475;475;1.3810526315789473;0.5084299355208911;1.5;1.5;2
2;assignment_vis>resource_vis_SOME;216;633768;369769.212962963;2550;216;216;1.2986111111111112;0.5644078326444342;1.5;1.5;2
2;assignment_try>assignment_sub;2085;633943;248385.67913669065;116234;2085;2085;1.3772182254196643;0.5204862012159001;1.5;1.5;2
2;assignment_try>resource_vis;556;633852;337881.2823741007;25174;556;556;1.3489208633093526;0.522139314739247;1.5;1.5;2
2;assignment_try>assignment_vis;1055;633927;299446.92037914693;63794;1055;1055;1.3706161137440758;0.5168774840483884;1.5;1.5;2
2;assignment_try>assignment_try;405;633822;359173.7012345679;15432;405;405;1.3160493827160493;0.5529974106351425;1.5;1.5;2
2;assignment_try>assignment_vis_SOME;170;633918;418376.9235294118;2040;170;170;1.3176470588235294;0.5264993176635407;1.5;1.5;2
2;assignment_try>forum_vis;248;633761;396376.30241935485;6350;248;248;1.344758064516129;0.5238180660605946;1.5;1.5;2
2;assignment_sub>assignment_vis;262;633747;344281.14122137404;12422;262;262;1.2958015267175573;0.5425404329420717;1.5;1.5;2
2;assignment_sub>assignment_try;248;633747;341687.8306451613;8938;248;248;1.3024193548387097;0.5466813695250798;1.5;1.5;2
2;assignment_sub>assignment_sub;262;633747;344281.14122137404;9949;262;262;1.2958015267175573;0.5425404329420717;1.5;1.5;2
2;assignment_vis_SOME>assignment_vis;317;633934;400925.9842271293;5632;317;317;1.3028391167192428;0.5480906004604909;1.5;1.5;2
2;assignment_vis_SOME>assignment_try;245;633838;408141.387755102;1470;245;245;1.3020408163265307;0.562302714371445;1.5;1.5;2
2;assignment_vis_SOME>assignment_sub;317;633934;400925.9842271293;4134;317;317;1.3028391167192428;0.5480906004604909;1.5;1.5;2
2;forum_vis>resource_vis;517;633726;345983.28239845263;60912;517;517;1.4226305609284333;0.49592373764556147;1.5;1.5;2
2;forum_vis>assignment_vis;744;633918;333458.5147849462;152702;744;744;1.4112903225806452;0.4944444539298307;1.5;1.5;2
2;forum_vis>assignment_try;665;633918;330637.6195488722;87260;665;665;1.4157894736842105;0.492846738265711;1.5;1.5;2
2;forum_vis>forum_vis_SOME;253;633389;385074.1581027668;31898;253;253;1.4802371541501975;0.4337049037476129;1.5;1.5;2
2;forum_vis>forum_vis;575;633732;348805.4191304348;157010;575;575;1.4339130434782608;0.4786171566808826;1.5;1.5;2
2;forum_vis>forum_participation;227;633732;359963.99559471366;18880;227;227;1.4559471365638768;0.4538891494902145;1.5;1.5;2
2;forum_vis>assignment_sub;748;633918;332095.78743315506;136428;748;748;1.411096256684492;0.49541120679150646;1.5;1.5;2
2;forum_vis_SOME>forum_vis;393;633575;358603.0203562341;90228;393;393;1.474554707379135;0.44246972418561736;1.5;1.5;2
2;forum_vis_SOME>forum_participation;186;633384;369004.10215053766;4272;186;186;1.4489247311827957;0.4606973852654993;1.5;1.5;2
2;forum_vis_SOME>forum_vis_SOME;312;633569;370999.89743589744;52156;312;312;1.482371794871795;0.43612236428503126;1.5;1.5;2
2;forum_vis_SOME>assignment_vis;391;633575;360400.4092071611;64460;391;391;1.473145780051151;0.4428000379013982;1.5;1.5;2
2;forum_vis_SOME>assignment_sub;393;633575;358603.0203562341;63189;393;393;1.474554707379135;0.44246972418561736;1.5;1.5;2
2;forum_vis_SOME>assignment_try;351;633536;358879.84045584046;40542;351;351;1.4814814814814814;0.4460289216427551;1.5;1.5;2
2;forum_vis_SOME>resource_vis;240;633569;378163.43333333335;10638;240;240;1.4875;0.43614179491533084;1.5;1.5;2
2;forum_participation>forum_vis;214;633732;359270.30841121497;14744;214;214;1.4532710280373833;0.4572458388928801;1.5;1.5;2
2;forum_participation>assignment_vis;227;633732;359963.99559471366;14026;227;227;1.4559471365638768;0.4538891494902145;1.5;1.5;2
2;forum_participation>assignment_sub;227;633732;359963.99559471366;14026;227;227;1.4559471365638768;0.4538891494902145;1.5;1.5;2
2;forum_participation>assignment_try;206;633732;363505.1941747573;9624;206;206;1.4611650485436893;0.4589984876342028;1.5;1.5;2
2;resource_vis_SOME>resource_vis;424;633859;340337.44811320753;12442;424;424;1.3643867924528301;0.5213009743227769;1.5;1.5;2
2;resource_vis_SOME>assignment_vis;418;633859;339484.0406698565;9792;418;418;1.36244019138756;0.524782268439082;1.5;1.5;2
2;resource_vis_SOME>assignment_try;365;633859;340171.13424657536;4374;365;365;1.3657534246575342;0.5317447897733946;1.5;1.5;2
2;resource_vis_SOME>assignment_sub;424;633859;340337.44811320753;9248;424;424;1.3643867924528301;0.5213009743227769;1.5;1.5;2
2;resource_vis_SOME>forum_vis;187;632620;398453.6256684492;2238;187;187;1.4197860962566844;0.4654561379601588;1.5;1.5;2
2;resource_vis_SOME>resource_vis_SOME;203;633018;353248.50738916255;2430;203;203;1.3399014778325122;0.5406578227811366;1.5;1.5;2
2;forum_vis_MANY>forum_vis_SOME;172;632738;384259.8604651163;6174;172;172;1.494186046511628;0.42915792732721053;1.5;1.5;2
2;forum_vis_MANY>forum_vis;172;632738;384259.8604651163;5488;172;172;1.494186046511628;0.42915792732721053;1.5;1.5;2
2;forum_vis_MANY>assignment_vis;171;632738;386501.8888888889;4104;171;171;1.4912280701754386;0.42865619093973173;1.5;1.5;2
2;forum_vis_MANY>assignment_sub;172;632738;384259.8604651163;4116;172;172;1.494186046511628;0.42915792732721053;1.5;1.5;2
3;resource_vis>assignment_vis>resource_vis;545;633768;378044.7137614679;25646;545;545;1.38348623853211;0.5133357177260921;1.5;1.5;2
3;resource_vis>assignment_vis>assignment_vis;1114;633934;320246.1633752244;72302;1114;1114;1.4030520646319569;0.5024912089545408;1.5;1.5;2
3;resource_vis>assignment_vis>assignment_try;1635;633934;271987.7547400612;64443;1635;1635;1.4192660550458716;0.5026509402429123;1.5;1.5;2
3;resource_vis>assignment_vis>assignment_sub;1798;633943;271469.786429366;101134;1798;1798;1.4160177975528365;0.5011498672490926;1.5;1.5;2
3;resource_vis>assignment_vis>forum_vis_SOME;178;632929;435103.76404494385;2130;178;178;1.4831460674157304;0.44116844216577694;1.5;1.5;2
3;resource_vis>assignment_vis>forum_vis;346;633761;400716.3959537572;14438;346;346;1.4060693641618498;0.5056127129182197;1.5;1.5;2
3;resource_vis>resource_vis>assignment_vis;1079;633934;331276.5282669138;70800;1079;1079;1.3994439295644114;0.5063050207007339;1.5;1.5;2
3;resource_vis>resource_vis>assignment_try;919;633934;330717.2557127312;33960;919;919;1.4020674646354734;0.5077676288839961;1.5;1.5;2
3;resource_vis>resource_vis>assignment_sub;1102;633934;327495.34754990926;61137;1102;1102;1.3983666061705988;0.5057499174601974;1.5;1.5;2
3;resource_vis>resource_vis>resource_vis;500;633768;373570.158;26198;500;500;1.389;0.5066481863872988;1.5;1.5;2
3;resource_vis>resource_vis>forum_vis_SOME;250;632738;397079.356;10044;250;250;1.516;0.4387642376321247;1.5;1.5;2
3;resource_vis>resource_vis>forum_vis;441;633466;374745.4058956916;29950;441;441;1.4387755102040816;0.48581454274686076;1.5;1.5;2
3;resource_vis>assignment_try>assignment_sub;1647;633934;270507.94778384943;58095;1647;1647;1.4207650273224044;0.502974044527903;1.5;1.5;2
3;resource_vis>assignment_try>resource_vis;326;633768;390331.65030674846;6780;326;326;1.343558282208589;0.5262975829542652;1.5;1.5;2
3;resource_vis>assignment_try>assignment_vis;780;633918;319441.3730769231;23310;780;780;1.4044871794871794;0.5017738686298719;1.5;1.5;2
3;resource_vis>assignment_try>assignment_try;263;633822;377526.3269961977;4224;263;263;1.3650190114068441;0.5348830752765875;1.5;1.5;2
3;resource_vis>assignment_try>forum_vis;178;633575;422778.893258427;1402;178;178;1.345505617977528;0.5367900224639497;1.5;1.5;2
3;resource_vis>assignment_sub>assignment_vis;211;633747;359893.78199052135;4462;211;211;1.338862559241706;0.5323860352637879;1.5;1.5;2
3;resource_vis>assignment_sub>assignment_try;198;633747;358255.6767676768;3282;198;198;1.345959595959596;0.5381476392291968;1.5;1.5;2
3;resource_vis>assignment_sub>assignment_sub;211;633747;359893.78199052135;3753;211;211;1.338862559241706;0.5323860352637879;1.5;1.5;2
3;resource_vis>assignment_vis_SOME>assignment_vis;209;633934;416103.5358851675;836;209;209;1.3564593301435406;0.5511952916525447;1.5;1.5;2
3;resource_vis>assignment_vis_SOME>assignment_sub;209;633934;416103.5358851675;627;209;209;1.3564593301435406;0.5511952916525447;1.5;1.5;2
3;resource_vis>forum_vis>resource_vis;387;632929;373467.7080103359;18496;387;387;1.4405684754521964;0.489879637684744;1.5;1.5;2
3;resource_vis>forum_vis>assignment_vis;615;633918;356233.44227642275;64024;615;615;1.4284552845528455;0.4865487587678239;1.5;1.5;2
3;resource_vis>forum_vis>assignment_try;528;633918;355139.5833333333;36834;528;528;1.4356060606060606;0.48273927036346975;1.5;1.5;2
3;resource_vis>forum_vis>forum_vis_SOME;206;632743;409426.0;6840;206;206;1.5;0.43616957991018174;1.5;1.5;2
3;resource_vis>forum_vis>forum_vis;477;633409;371053.44025157235;60314;477;477;1.4433962264150944;0.4773695829493391;1.5;1.5;2
3;resource_vis>forum_vis>forum_participation;200;633086;385508.41;5180;200;200;1.465;0.4580656291439198;1.5;1.5;2
3;resource_vis>forum_vis>assignment_sub;620;633918;353889.73387096776;58686;620;620;1.428225806451613;0.4874118923521412;1.5;1.5;2
3;resource_vis>forum_vis_SOME>forum_vis;334;632929;377835.45808383235;31628;334;334;1.4835329341317365;0.44908793502671635;1.5;1.5;2
3;resource_vis>forum_vis_SOME>forum_vis_SOME;268;632929;393485.7611940298;16088;268;268;1.492537313432836;0.4412489705746686;1.5;1.5;2
3;resource_vis>forum_vis_SOME>assignment_vis;332;632929;380068.1204819277;23522;332;332;1.4819277108433735;0.44954346181834975;1.5;1.5;2
3;resource_vis>forum_vis_SOME>assignment_sub;334;632929;377835.45808383235;22963;334;334;1.4835329341317365;0.44908793502671635;1.5;1.5;2
3;resource_vis>forum_vis_SOME>assignment_try;291;632738;379391.8556701031;16176;291;291;1.493127147766323;0.4548067202045458;1.5;1.5;2
3;resource_vis>forum_vis_SOME>resource_vis;182;632929;407189.3021978022;2166;182;182;1.489010989010989;0.44892764787629835;1.5;1.5;2
3;resource_vis>forum_participation>forum_vis;188;633086;387173.5904255319;3604;188;188;1.4654255319148937;0.4626433349648691;1.5;1.5;2
3;resource_vis>forum_participation>assignment_vis;200;633086;385508.41;4070;200;200;1.465;0.4580656291439198;1.5;1.5;2
3;resource_vis>forum_participation>assignment_sub;200;633086;385508.41;4070;200;200;1.465;0.4580656291439198;1.5;1.5;2
3;resource_vis>forum_participation>assignment_try;181;633086;388323.1215469613;3520;181;181;1.4696132596685083;0.46297871878243674;1.5;1.5;2
3;assignment_vis>resource_vis>assignment_vis;998;633852;318268.12124248495;53256;998;998;1.3957915831663326;0.508367620489331;1.5;1.5;2
3;assignment_vis>resource_vis>assignment_try;760;633832;323499.1473684211;19814;760;760;1.3986842105263158;0.5199557650823069;1.5;1.5;2
3;assignment_vis>resource_vis>assignment_sub;1047;633852;308779.7306590258;44225;1047;1047;1.3939828080229226;0.5096882521962879;1.5;1.5;2
3;assignment_vis>resource_vis>resource_vis;600;633832;345344.62166666664;26566;600;600;1.3608333333333333;0.5170378959663703;1.5;1.5;2
3;assignment_vis>resource_vis>forum_vis;328;633309;376845.35365853657;9130;328;328;1.4115853658536586;0.5066408399474109;1.5;1.5;2
3;assignment_vis>assignment_vis>assignment_try;1141;633923;314908.6871165644;41474;1141;1141;1.3663453111305872;0.5238752864407197;1.5;1.5;2
3;assignment_vis>assignment_vis>assignment_sub;1512;633943;291416.6593915344;84427;1512;1512;1.371362433862434;0.5153051266175808;1.5;1.5;2
3;assignment_vis>assignment_vis>assignment_vis;950;633918;337286.5894736842;63524;950;950;1.3757894736842105;0.5161696875631582;1.5;1.5;2
3;assignment_vis>assignment_vis>resource_vis;599;633832;376100.24207011686;27504;599;599;1.3631051752921537;0.5152760476750493;1.5;1.5;2
3;assignment_vis>assignment_vis>forum_vis;314;633761;396771.66878980893;8854;314;314;1.3710191082802548;0.5119226238374764;1.5;1.5;2
3;assignment_vis>assignment_try>assignment_sub;2085;633943;248385.67913669065;71990;2085;2085;1.3772182254196643;0.5204862012159001;1.5;1.5;2
3;assignment_vis>assignment_try>resource_vis;556;633852;337881.2823741007;13282;556;556;1.3489208633093526;0.522139314739247;1.5;1.5;2
3;assignment_vis>assignment_try>assignment_vis;1055;633927;299446.92037914693;36534;1055;1055;1.3706161137440758;0.5168774840483884;1.5;1.5;2
3;assignment_vis>assignment_try>assignment_try;405;633822;359173.7012345679;8088;405;405;1.3160493827160493;0.5529974106351425;1.5;1.5;2
3;assignment_vis>assignment_try>assignment_vis_SOME;170;633918;418376.9235294118;1020;170;170;1.3176470588235294;0.5264993176635407;1.5;1.5;2
3;assignment_vis>assignment_try>forum_vis;248;633761;396376.30241935485;3174;248;248;1.344758064516129;0.5238180660605946;1.5;1.5;2
3;assignment_vis>assignment_sub>assignment_vis;262;633747;344281.14122137404;6016;262;262;1.2958015267175573;0.5425404329420717;1.5;1.5;2
3;assignment_vis>assignment_sub>assignment_try;248;633747;341687.8306451613;4272;248;248;1.3024193548387097;0.5466813695250798;1.5;1.5;2
3;assignment_vis>assignment_sub>assignment_sub;262;633747;344281.14122137404;4952;262;262;1.2958015267175573;0.5425404329420717;1.5;1.5;2
3;assignment_vis>assignment_vis_SOME>assignment_vis;207;633918;421127.6231884058;1508;207;207;1.3236714975845412;0.5388499514735862;1.5;1.5;2
3;assignment_vis>assignment_vis_SOME>assignment_sub;207;633918;421127.6231884058;1131;207;207;1.3236714975845412;0.5388499514735862;1.5;1.5;2
3;assignment_vis>forum_vis_SOME>forum_vis;231;633575;401536.3766233766;6120;231;231;1.4545454545454546;0.45095419256778885;1.5;1.5;2
3;assignment_vis>forum_vis_SOME>forum_vis_SOME;177;633569;434115.8926553672;2112;177;177;1.4802259887005649;0.4276042600166493;1.5;1.5;2
