sequence_size;sequence;total;total_time_span;avg_time_span;i_support;s_support;ids;grade_avg;grade_avg_deviation;grade_median;grade_mode;max_grade
2;resource_vis_START>assignment_vis_START;335;633822;440384.09552238806;1557;335;335;1.3940298507462687;0.5360871200689957;1.5;1.5;2
2;resource_vis_START>resource_vis_START;501;633838;408820.4151696607;3410;501;501;1.4001996007984032;0.5118788529328403;1.5;1.5;2
2;resource_vis_START>assignment_sub_END;730;633923;494995.1684931507;6398;730;730;1.417123287671233;0.5027168422307208;1.5;1.5;2
2;resource_vis_START>assignment_try_END;246;633789;508407.46341463417;492;246;246;1.3882113821138211;0.4788413439608627;1.5;1.5;2
2;resource_vis_START>resource_vis_END;408;633832;512549.76470588235;2826;408;408;1.3860294117647058;0.5197579469879676;1.5;1.5;2
2;resource_vis_START>assignment_try_START;235;633822;365549.62127659575;235;235;235;1.3638297872340426;0.5296449108483545;1.5;1.5;2
2;resource_vis_START>assignment_sub_START;297;633500;212166.67003367003;297;297;297;1.4006734006734007;0.5225323775040983;1.5;1.5;2
2;resource_vis_START>assignment_vis_END;371;633923;514032.79514824797;2718;371;371;1.4137466307277629;0.5191986866037411;1.5;1.5;2
2;resource_vis_START>forum_vis_START;308;633575;422494.31493506493;1714;308;308;1.4399350649350648;0.4880954100585163;1.5;1.5;2
2;resource_vis_START>forum_vis_END;291;632734;494571.15120274917;2548;291;291;1.4347079037800687;0.506030700212946;1.5;1.5;2
2;assignment_vis_START>resource_vis_START;305;633832;403152.5737704918;710;305;305;1.3852459016393444;0.5224675970731313;1.5;1.5;2
2;assignment_vis_START>assignment_sub_END;521;633907;517567.13243761996;3476;521;521;1.3857965451055663;0.5234039740630213;1.5;1.5;2
2;assignment_vis_START>assignment_vis_START;267;633907;462113.21722846443;496;267;267;1.307116104868914;0.5511999193855489;1.5;1.5;2
2;assignment_vis_START>assignment_vis_END;336;633907;525429.943452381;2216;336;336;1.3973214285714286;0.5345037851832918;1.5;1.5;2
2;assignment_vis_START>resource_vis_END;346;633832;530038.7630057803;2192;346;346;1.4017341040462428;0.5168437084356206;1.5;1.5;2
2;assignment_vis_START>assignment_try_END;198;633655;529615.691919192;396;198;198;1.378787878787879;0.506760934890919;1.5;1.5;2
2;assignment_vis_START>forum_vis_END;199;633463;512855.9095477387;398;199;199;1.414572864321608;0.5272749589068677;1.5;1.5;2
2;assignment_try_END>resource_vis_END;312;633852;266791.7596153846;624;312;312;1.358974358974359;0.5252311443235572;1.5;1.5;2
2;assignment_try_END>assignment_sub_END;685;633927;275641.40291970805;2704;685;685;1.3795620437956204;0.5105808362738321;1.5;1.5;2
2;assignment_try_END>assignment_vis_END;252;633918;292310.1904761905;504;252;252;1.3551587301587302;0.5145813819103249;1.5;1.5;2
2;resource_vis_END>assignment_sub_END;1302;633852;248963.48924731184;10310;1302;1302;1.4001536098310292;0.5074540219367011;1.5;1.5;2
2;resource_vis_END>assignment_try_END;384;633843;247292.65364583334;1116;384;384;1.421875;0.4945030736175786;1.5;1.5;2
2;resource_vis_END>resource_vis_END;632;633843;271688.14556962025;6130;632;632;1.370253164556962;0.5256657683261957;1.5;1.5;2
2;resource_vis_END>assignment_vis_END;500;633843;287855.508;3492;500;500;1.376;0.5274280621292755;1.5;1.5;2
2;resource_vis_END>forum_vis_END;348;633077;308966.1379310345;2384;348;348;1.4310344827586208;0.4871395884493499;1.5;1.5;2
2;assignment_try_START>assignment_vis_END;173;633822;519360.87861271674;346;173;173;1.3554913294797688;0.5080015750124035;1.5;1.5;2
2;assignment_try_START>assignment_sub_END;254;633822;512624.23622047243;427;254;254;1.3543307086614174;0.5033886601463353;1.5;1.5;2
2;assignment_vis_END>assignment_vis_END;472;633934;325533.42372881353;3556;472;472;1.3591101694915255;0.5230987741714503;1.5;1.5;2
2;assignment_vis_END>resource_vis_END;580;633768;287031.1896551724;3934;580;580;1.4060344827586206;0.503234579482351;1.5;1.5;2
2;assignment_vis_END>assignment_try_END;274;633843;298593.5547445255;548;274;274;1.416058394160584;0.5137998322692434;1.5;1.5;2
2;assignment_vis_END>assignment_sub_END;947;633934;298944.1520591341;8228;947;947;1.3801478352692713;0.5178084197046039;1.5;1.5;2
2;assignment_vis_END>forum_vis_END;273;632920;342750.7582417582;940;273;273;1.3992673992673992;0.49064728210868325;1.5;1.5;2
2;forum_vis_START>resource_vis_START;223;632750;411130.12107623316;402;223;223;1.446188340807175;0.5038333240487467;1.5;1.5;2
2;forum_vis_START>resource_vis_END;197;633093;491442.5532994924;394;197;197;1.4517766497461928;0.49893702402385387;1.5;1.5;2
2;forum_vis_START>assignment_vis_END;176;633918;504481.5852272727;352;176;176;1.4147727272727273;0.5111420876490546;1.5;1.5;2
2;forum_vis_START>forum_vis_END;209;633077;490184.3971291866;1466;209;209;1.4401913875598087;0.4853745200699781;1.5;1.5;2
2;forum_vis_START>assignment_sub_END;324;633918;486460.5925925926;2480;324;324;1.4429012345679013;0.4808843531588673;1.5;1.5;2
2;forum_vis_START>forum_vis_START;291;633732;414016.7972508591;2081;291;291;1.465635738831615;0.4740011544737729;1.5;1.5;2
