sequence_size;sequence;total;total_time_span;avg_time_span;i_support;s_support;ids;grade_avg;grade_median;grade_mode;max_grade
1;resource_vis;1829;633943;259974.3455440131;29130;1829;1829;1.41 (+- 0.50);1.5;1.5;2
1;assignment_vis;902;633907;320439.5931263858;16526;902;902;1.39 (+- 0.50);1.5;1.5;2
1;assignment_sub;2085;633943;235890.41486810552;23453;2085;2085;1.38 (+- 0.52);1.5;1.5;2
1;assignment_try;974;633927;277411.65092402464;8876;974;974;1.38 (+- 0.51);1.5;1.5;2
1;forum_vis;748;633918;326493.23262032086;22346;748;748;1.41 (+- 0.50);1.5;1.5;2
1;forum_participation;227;633732;356736.3171806167;3801;227;227;1.46 (+- 0.45);1.5;1.5;2
2;resource_vis>assignment_vis;505;633843;388911.8772277228;5982;505;505;1.39 (+- 0.51);1.5;1.5;2
2;resource_vis>resource_vis;672;633768;357237.41220238095;9422;672;672;1.41 (+- 0.51);1.5;1.5;2
2;resource_vis>assignment_sub;1829;633943;259974.3455440131;15585;1829;1829;1.41 (+- 0.50);1.5;1.5;2
2;resource_vis>assignment_try;716;633918;315357.8966480447;3854;716;716;1.40 (+- 0.50);1.5;1.5;2
2;resource_vis>forum_vis;619;633918;346885.24717285944;10448;619;619;1.43 (+- 0.49);1.5;1.5;2
2;resource_vis>forum_participation;200;633077;381851.1;1552;200;200;1.47 (+- 0.46);1.5;1.5;2
2;assignment_vis>resource_vis;830;633832;319887.8120481928;8052;830;830;1.39 (+- 0.51);1.5;1.5;2
2;assignment_vis>assignment_sub;902;633907;320439.5931263858;8714;902;902;1.39 (+- 0.50);1.5;1.5;2
2;assignment_vis>assignment_try;323;633843;353883.2043343653;1238;323;323;1.40 (+- 0.50);1.5;1.5;2
2;assignment_vis>assignment_vis;268;633768;405655.8619402985;1850;268;268;1.38 (+- 0.52);1.5;1.5;2
2;assignment_vis>forum_vis;415;633761;365042.95421686745;4066;415;415;1.39 (+- 0.50);1.5;1.5;2
2;assignment_sub>assignment_sub;262;633747;336949.5572519084;473;262;262;1.30 (+- 0.54);1.5;1.5;2
2;assignment_try>resource_vis;513;633852;299597.7953216374;2074;513;513;1.35 (+- 0.52);1.5;1.5;2
2;assignment_try>assignment_sub;974;633927;277411.65092402464;4925;974;974;1.38 (+- 0.51);1.5;1.5;2
2;assignment_try>assignment_try;181;633822;415938.3093922652;362;181;181;1.35 (+- 0.53);1.5;1.5;2
2;assignment_try>forum_vis;214;633761;376757.9813084112;428;214;214;1.34 (+- 0.53);1.5;1.5;2
2;assignment_try>assignment_vis;264;633843;381948.07575757575;998;264;264;1.34 (+- 0.50);1.5;1.5;2
2;forum_vis>resource_vis;517;633726;338081.4564796905;7290;517;517;1.42 (+- 0.50);1.5;1.5;2
2;forum_vis>assignment_try;294;633918;357118.7517006803;1436;294;294;1.41 (+- 0.48);1.5;1.5;2
