sequence_size;sequence;total;total_time_span;avg_time_span;i_support;s_support;ids;grade_avg;grade_avg_deviation;grade_median;grade_mode;max_grade
2;resource_vis>assignment_vis;1797;633943;271620.367278798;86731;1797;1797;1.4162493043962159;0.5011931867239443;1.5;1.5;2
2;resource_vis>resource_vis;672;633768;363965.3511904762;35150;672;672;1.4069940476190477;0.5054651072321372;1.5;1.5;2
2;resource_vis>assignment_try;1647;633934;270507.94778384943;54842;1647;1647;1.4207650273224044;0.502974044527903;1.5;1.5;2
2;resource_vis>assignment_sub;1829;633943;267590.589393111;68164;1829;1829;1.4149808638600327;0.5016545514803153;1.5;1.5;2
2;resource_vis>forum_vis;619;633918;353484.1873990307;40332;619;619;1.4281098546042004;0.4877975210775433;1.5;1.5;2
2;resource_vis>forum_participation;200;633086;385508.41;5920;200;200;1.465;0.4580656291439198;1.5;1.5;2
2;assignment_vis>resource_vis;1048;633852;308485.929389313;45682;1048;1048;1.3936068702290076;0.5095901362874535;1.5;1.5;2
2;assignment_vis>assignment_vis;1392;633927;295281.8505747126;76352;1392;1392;1.377514367816092;0.5142583806185448;1.5;1.5;2
2;assignment_vis>assignment_try;2085;633943;248385.67913669065;70735;2085;2085;1.3772182254196643;0.5204862012159001;1.5;1.5;2
2;assignment_vis>assignment_sub;2085;633943;248385.67913669065;83018;2085;2085;1.3772182254196643;0.5204862012159001;1.5;1.5;2
2;assignment_vis>forum_vis;475;633761;366914.4168421053;25154;475;475;1.3810526315789473;0.5084299355208911;1.5;1.5;2
2;assignment_try>assignment_sub;2085;633943;248385.67913669065;58468;2085;2085;1.3772182254196643;0.5204862012159001;1.5;1.5;2
2;assignment_try>resource_vis;556;633852;337881.2823741007;14628;556;556;1.3489208633093526;0.522139314739247;1.5;1.5;2
2;assignment_try>assignment_vis;1055;633927;299446.92037914693;39364;1055;1055;1.3706161137440758;0.5168774840483884;1.5;1.5;2
2;assignment_try>assignment_try;405;633822;359173.7012345679;12684;405;405;1.3160493827160493;0.5529974106351425;1.5;1.5;2
2;assignment_try>forum_vis;248;633761;396376.30241935485;4854;248;248;1.344758064516129;0.5238180660605946;1.5;1.5;2
2;assignment_sub>assignment_vis;262;633747;344281.14122137404;7124;262;262;1.2958015267175573;0.5425404329420717;1.5;1.5;2
2;assignment_sub>assignment_try;248;633747;341687.8306451613;6908;248;248;1.3024193548387097;0.5466813695250798;1.5;1.5;2
2;assignment_sub>assignment_sub;262;633747;344281.14122137404;7124;262;262;1.2958015267175573;0.5425404329420717;1.5;1.5;2
2;forum_vis>resource_vis;517;633726;345983.28239845263;24590;517;517;1.4226305609284333;0.49592373764556147;1.5;1.5;2
2;forum_vis>assignment_vis;744;633918;333458.5147849462;51322;744;744;1.4112903225806452;0.4944444539298307;1.5;1.5;2
2;forum_vis>assignment_try;665;633918;330637.6195488722;30376;665;665;1.4157894736842105;0.492846738265711;1.5;1.5;2
2;forum_vis>forum_vis;422;633732;363138.5876777251;28298;422;422;1.4289099526066351;0.48091188761942605;1.5;1.5;2
2;forum_vis>forum_participation;227;633732;359963.99559471366;7752;227;227;1.4559471365638768;0.4538891494902145;1.5;1.5;2
2;forum_vis>assignment_sub;748;633918;332095.78743315506;43390;748;748;1.411096256684492;0.49541120679150646;1.5;1.5;2
2;forum_participation>forum_vis;214;633469;356819.9953271028;6836;214;214;1.4532710280373833;0.4598055839430718;1.5;1.5;2
2;forum_participation>assignment_vis;227;633732;359963.99559471366;7040;227;227;1.4559471365638768;0.4538891494902145;1.5;1.5;2
2;forum_participation>assignment_sub;227;633732;359963.99559471366;7040;227;227;1.4559471365638768;0.4538891494902145;1.5;1.5;2
2;forum_participation>assignment_try;206;633732;363505.1941747573;6024;206;206;1.4611650485436893;0.4589984876342028;1.5;1.5;2
3;resource_vis>assignment_vis>resource_vis;545;633768;378044.7137614679;13964;545;545;1.38348623853211;0.5133357177260921;1.5;1.5;2
3;resource_vis>assignment_vis>assignment_vis;970;633918;327801.2051546392;30766;970;970;1.4108247422680413;0.4982283785982545;1.5;1.5;2
3;resource_vis>assignment_vis>assignment_try;1634;633934;272153.6738066095;31041;1634;1634;1.4195226438188495;0.5026976995525673;1.5;1.5;2
3;resource_vis>assignment_vis>assignment_sub;1797;633943;271620.367278798;44668;1797;1797;1.4162493043962159;0.5011931867239443;1.5;1.5;2
3;resource_vis>assignment_vis>forum_vis;346;633761;400716.3959537572;8024;346;346;1.4060693641618498;0.5056127129182197;1.5;1.5;2
3;resource_vis>resource_vis>assignment_vis;646;633768;370543.33436532505;18516;646;646;1.4071207430340558;0.507199706218038;1.5;1.5;2
3;resource_vis>resource_vis>assignment_try;475;633747;378992.5578947368;7548;475;475;1.4052631578947368;0.5191213814329869;1.5;1.5;2
3;resource_vis>resource_vis>assignment_sub;672;633768;363965.3511904762;17575;672;672;1.4069940476190477;0.5054651072321372;1.5;1.5;2
