sequence_size;sequence;total;total_time_span;avg_time_span;i_support;s_support;ids;grade_avg;grade_median;grade_mode;max_grade
1;resource_vis;1829;633943;267584.6429743029;80916;1829;1829;1.41 (+- 0.50);1.5;1.5;2
1;assignment_vis;1238;633934;309533.79563812603;51764;1238;1238;1.37 (+- 0.52);1.5;1.5;2
1;assignment_sub;2085;633943;248337.71175059953;60907;2085;2085;1.38 (+- 0.52);1.5;1.5;2
1;assignment_try;974;633927;293539.3398357289;16658;974;974;1.38 (+- 0.51);1.5;1.5;2
1;forum_vis;748;633918;332084.19251336897;70606;748;748;1.41 (+- 0.50);1.5;1.5;2
1;forum_participation;227;633732;359958.37885462557;10827;227;227;1.46 (+- 0.45);1.5;1.5;2
2;resource_vis>assignment_vis;835;633934;346270.44311377243;23026;835;835;1.39 (+- 0.52);1.5;1.5;2
2;resource_vis>resource_vis;1102;633934;327487.667876588;38924;1102;1102;1.40 (+- 0.51);1.5;1.5;2
2;resource_vis>assignment_sub;1829;633943;267584.6429743029;41663;1829;1829;1.41 (+- 0.50);1.5;1.5;2
2;resource_vis>assignment_try;716;633918;317847.7625698324;7188;716;716;1.40 (+- 0.50);1.5;1.5;2
2;resource_vis>forum_vis;619;633918;353476.901453958;35826;619;619;1.43 (+- 0.49);1.5;1.5;2
2;resource_vis>forum_participation;200;633077;385508.14;3348;200;200;1.47 (+- 0.46);1.5;1.5;2
2;assignment_vis>resource_vis;879;633832;325929.64163822524;19576;879;879;1.40 (+- 0.51);1.5;1.5;2
2;assignment_vis>assignment_sub;1238;633934;309533.79563812603;26501;1238;1238;1.37 (+- 0.52);1.5;1.5;2
2;assignment_vis>assignment_try;483;633843;356889.0103519669;3822;483;483;1.38 (+- 0.52);1.5;1.5;2
2;assignment_vis>assignment_vis;718;633934;367522.3997214485;15646;718;718;1.35 (+- 0.53);1.5;1.5;2
2;assignment_vis>forum_vis;431;633761;374137.6821345708;12718;431;431;1.39 (+- 0.51);1.5;1.5;2
2;assignment_sub>assignment_vis;225;633747;362303.91555555555;820;225;225;1.30 (+- 0.57);1.5;1.5;2
2;assignment_sub>assignment_sub;262;633747;344207.13740458013;883;262;262;1.30 (+- 0.54);1.5;1.5;2
2;assignment_try>resource_vis;513;633852;326730.8050682261;3990;513;513;1.35 (+- 0.52);1.5;1.5;2
2;assignment_try>assignment_sub;974;633927;293539.3398357289;8816;974;974;1.38 (+- 0.51);1.5;1.5;2
2;assignment_try>assignment_try;181;633822;432444.2209944751;362;181;181;1.35 (+- 0.53);1.5;1.5;2
2;assignment_try>assignment_vis;440;633918;356825.1204545455;3768;440;440;1.35 (+- 0.52);1.5;1.5;2
2;assignment_try>forum_vis;214;633761;396300.21495327103;428;214;214;1.34 (+- 0.53);1.5;1.5;2
2;forum_vis>resource_vis;517;633726;345973.5918762089;21482;517;517;1.42 (+- 0.50);1.5;1.5;2
2;forum_vis>assignment_try;294;633918;361591.6666666667;2534;294;294;1.41 (+- 0.48);1.5;1.5;2
2;forum_vis>assignment_vis;402;633918;380141.8134328358;11336;402;402;1.38 (+- 0.51);1.5;1.5;2
2;forum_vis>forum_vis;575;633732;348796.30782608694;46820;575;575;1.43 (+- 0.48);1.5;1.5;2
2;forum_vis>forum_participation;227;633732;359958.37885462557;8676;227;227;1.46 (+- 0.45);1.5;1.5;2
2;forum_vis>assignment_sub;748;633918;332084.19251336897;35677;748;748;1.41 (+- 0.50);1.5;1.5;2
2;forum_participation>forum_vis;214;633469;356814.0794392523;6292;214;214;1.45 (+- 0.46);1.5;1.5;2
2;forum_participation>assignment_sub;227;633732;359958.37885462557;5527;227;227;1.46 (+- 0.45);1.5;1.5;2
3;resource_vis>assignment_vis>resource_vis;447;633768;399368.3199105145;5134;447;447;1.39 (+- 0.51);1.5;1.5;2
3;resource_vis>assignment_vis>assignment_sub;835;633934;346270.44311377243;11513;835;835;1.39 (+- 0.52);1.5;1.5;2
3;resource_vis>assignment_vis>assignment_vis;447;633934;408553.4116331096;4730;447;447;1.38 (+- 0.52);1.5;1.5;2
3;resource_vis>assignment_vis>assignment_try;261;633822;403852.8735632184;522;261;261;1.37 (+- 0.55);1.5;1.5;2
3;resource_vis>assignment_vis>forum_vis;303;633761;407963.1881188119;3626;303;303;1.41 (+- 0.51);1.5;1.5;2
3;resource_vis>resource_vis>assignment_sub;1102;633934;327487.667876588;19462;1102;1102;1.40 (+- 0.51);1.5;1.5;2
3;resource_vis>resource_vis>assignment_try;397;633843;360963.3652392947;1956;397;397;1.39 (+- 0.49);1.5;1.5;2
3;resource_vis>resource_vis>resource_vis;689;633859;347883.47750362847;14144;689;689;1.38 (+- 0.51);1.5;1.5;2
3;resource_vis>resource_vis>assignment_vis;520;633934;390605.4576923077;7498;520;520;1.40 (+- 0.51);1.5;1.5;2
3;resource_vis>resource_vis>forum_vis;441;633447;374741.79365079367;12046;441;441;1.44 (+- 0.49);1.5;1.5;2
3;resource_vis>assignment_sub>assignment_vis;185;633747;377395.82702702703;370;185;185;1.35 (+- 0.55);1.5;1.5;2
3;resource_vis>assignment_sub>assignment_sub;211;633747;359892.2511848341;396;211;211;1.34 (+- 0.53);1.5;1.5;2
3;resource_vis>assignment_try>resource_vis;289;633768;380430.12110726646;918;289;289;1.34 (+- 0.52);1.5;1.5;2
3;resource_vis>assignment_try>assignment_sub;716;633918;317847.7625698324;3594;716;716;1.40 (+- 0.50);1.5;1.5;2
3;resource_vis>assignment_try>assignment_vis;287;633918;376499.47386759584;910;287;287;1.37 (+- 0.51);1.5;1.5;2
3;resource_vis>forum_vis>resource_vis;386;632920;372859.5440414508;7924;386;386;1.44 (+- 0.49);1.5;1.5;2
3;resource_vis>forum_vis>assignment_try;233;633918;385105.0815450644;800;233;233;1.43 (+- 0.45);1.5;1.5;2
3;resource_vis>forum_vis>assignment_vis;325;633918;408233.2184615385;4168;325;325;1.42 (+- 0.50);1.5;1.5;2
3;resource_vis>forum_vis>forum_vis;477;633409;371050.10482180293;20442;477;477;1.44 (+- 0.48);1.5;1.5;2
3;resource_vis>forum_vis>forum_participation;200;633077;385508.14;2572;200;200;1.47 (+- 0.46);1.5;1.5;2
3;resource_vis>forum_vis>assignment_sub;619;633918;353476.901453958;17913;619;619;1.43 (+- 0.49);1.5;1.5;2
3;resource_vis>forum_participation>forum_vis;188;632814;381652.5106382979;1456;188;188;1.46 (+- 0.46);1.5;1.5;2
3;resource_vis>forum_participation>assignment_sub;200;633077;385508.14;1674;200;200;1.47 (+- 0.46);1.5;1.5;2
3;assignment_vis>resource_vis>assignment_sub;879;633832;325929.64163822524;9788;879;879;1.40 (+- 0.51);1.5;1.5;2
3;assignment_vis>resource_vis>assignment_try;304;633768;357856.5361842105;956;304;304;1.41 (+- 0.50);1.5;1.5;2
3;assignment_vis>resource_vis>assignment_vis;416;633832;379588.0721153846;3146;416;416;1.37 (+- 0.53);1.5;1.5;2
3;assignment_vis>resource_vis>resource_vis;508;633832;354229.89763779525;5806;508;508;1.36 (+- 0.52);1.5;1.5;2
3;assignment_vis>resource_vis>forum_vis;290;633184;388595.64137931034;2832;290;290;1.43 (+- 0.50);1.5;1.5;2
3;assignment_vis>assignment_try>assignment_sub;483;633843;356889.0103519669;1911;483;483;1.38 (+- 0.52);1.5;1.5;2
3;assignment_vis>assignment_try>resource_vis;233;633768;396938.4721030043;466;233;233;1.33 (+- 0.54);1.5;1.5;2
3;assignment_vis>assignment_try>assignment_vis;218;633843;406506.6788990826;436;218;218;1.34 (+- 0.52);1.5;1.5;2
3;assignment_vis>assignment_vis>assignment_vis;423;633907;412332.4657210402;3260;423;423;1.34 (+- 0.53);1.5;1.5;2
3;assignment_vis>assignment_vis>resource_vis;454;633832;397271.2224669604;3664;454;454;1.36 (+- 0.51);1.5;1.5;2
3;assignment_vis>assignment_vis>assignment_try;238;633822;394728.2268907563;476;238;238;1.35 (+- 0.54);1.5;1.5;2
3;assignment_vis>assignment_vis>assignment_sub;718;633934;367522.3997214485;7823;718;718;1.35 (+- 0.53);1.5;1.5;2
3;assignment_vis>assignment_vis>forum_vis;258;633722;406985.7131782946;1256;258;258;1.37 (+- 0.51);1.5;1.5;2
3;assignment_vis>forum_vis>forum_vis;321;633575;395676.9563862928;5086;321;321;1.42 (+- 0.49);1.5;1.5;2
3;assignment_vis>forum_vis>assignment_sub;431;633761;374137.6821345708;6359;431;431;1.39 (+- 0.51);1.5;1.5;2
3;assignment_vis>forum_vis>assignment_vis;232;633761;426014.5905172414;798;232;232;1.35 (+- 0.53);1.5;1.5;2
3;assignment_vis>forum_vis>resource_vis;265;633569;402220.8754716981;1956;265;265;1.38 (+- 0.52);1.5;1.5;2
3;assignment_sub>assignment_vis>assignment_sub;225;633747;362303.91555555555;410;225;225;1.30 (+- 0.57);1.5;1.5;2
3;assignment_try>resource_vis>assignment_sub;513;633852;326730.8050682261;1995;513;513;1.35 (+- 0.52);1.5;1.5;2
3;assignment_try>resource_vis>assignment_vis;267;633768;381692.2284644195;534;267;267;1.37 (+- 0.53);1.5;1.5;2
3;assignment_try>resource_vis>resource_vis;281;633768;372097.256227758;562;281;281;1.31 (+- 0.53);1.5;1.5;2
3;assignment_try>assignment_try>assignment_sub;181;633822;432444.2209944751;181;181;181;1.35 (+- 0.53);1.5;1.5;2
3;assignment_try>assignment_vis>assignment_sub;440;633918;356825.1204545455;1884;440;440;1.35 (+- 0.52);1.5;1.5;2
