sequence_size;sequence;total;total_time_span;avg_time_span;i_support;s_support;ids;grade_avg;grade_avg_deviation;grade_median;grade_mode;max_grade
2;resource_vis_START>assignment_vis_START;284;633822;442742.7042253521;523;284;284;1.4102112676056338;0.5430589557435072;1.5;1.5;2
2;resource_vis_START>resource_vis_START;190;633747;411009.6157894737;190;190;190;1.4157894736842105;0.5401970617256966;1.5;1.5;2
2;resource_vis_START>assignment_sub_END;633;633907;495728.00157977885;2111;633;633;1.4257503949447077;0.500806736142621;1.5;1.5;2
2;resource_vis_START>assignment_try_END;208;633398;511694.8173076923;416;208;208;1.4038461538461537;0.48442865932505874;1.5;1.5;2
2;resource_vis_START>resource_vis_END;322;633832;512127.12422360247;644;322;322;1.4130434782608696;0.5025332009344722;1.5;1.5;2
2;resource_vis_START>assignment_try_START;210;633822;366797.0857142857;210;210;210;1.3714285714285714;0.5403727732852547;1.5;1.5;2
2;resource_vis_START>assignment_sub_START;261;633500;214355.0;261;261;261;1.4080459770114941;0.5236451508720674;1.5;1.5;2
2;resource_vis_START>assignment_vis_END;317;633907;513859.11356466875;634;317;317;1.4242902208201893;0.5115221925586556;1.5;1.5;2
2;resource_vis_START>forum_vis_START;201;633575;421155.5721393035;201;201;201;1.4427860696517414;0.5004599874165517;1.5;1.5;2
2;resource_vis_START>forum_vis_END;199;632734;489258.06532663316;398;199;199;1.434673366834171;0.5132130603338082;1.5;1.5;2
2;assignment_vis_START>resource_vis_START;254;633832;407113.6968503937;447;254;254;1.3996062992125984;0.5248374889826241;1.5;1.5;2
2;assignment_vis_START>assignment_sub_END;491;633907;517004.3625254583;1702;491;491;1.3890020366598779;0.5223584878144146;1.5;1.5;2
2;assignment_vis_START>assignment_vis_END;290;633907;524012.7931034483;580;290;290;1.4017241379310346;0.5308775066783346;1.5;1.5;2
2;assignment_vis_START>resource_vis_END;300;633832;528315.0633333334;600;300;300;1.41;0.50439539621121;1.5;1.5;2
2;assignment_vis_START>assignment_try_END;189;633655;532006.3439153439;378;189;189;1.3888888888888888;0.4982237954520136;1.5;1.5;2
2;assignment_try_END>resource_vis_END;286;633852;264810.37412587414;572;286;286;1.3723776223776223;0.5184043778810677;1.5;1.5;2
2;assignment_try_END>assignment_sub_END;683;633927;275536.7613469985;2201;683;683;1.3792093704245973;0.5112872218774638;1.5;1.5;2
2;assignment_try_END>assignment_vis_END;239;633918;294202.18828451884;478;239;239;1.3619246861924685;0.5183340907157423;1.5;1.5;2
2;resource_vis_END>assignment_sub_END;1167;633852;246879.57240788348;4278;1167;1167;1.4108826049700085;0.5027640503488943;1.5;1.5;2
2;resource_vis_END>assignment_try_END;343;633843;247519.0;686;343;343;1.4227405247813412;0.4917525167590961;1.5;1.5;2
2;resource_vis_END>resource_vis_END;256;633686;295012.34765625;512;256;256;1.400390625;0.49984295940687956;1.5;1.5;2
2;resource_vis_END>assignment_vis_END;435;633843;286341.7747126437;1278;435;435;1.3850574712643677;0.5186673671085045;1.5;1.5;2
2;resource_vis_END>forum_vis_END;239;632322;304449.48953974893;478;239;239;1.393305439330544;0.5043061990986042;1.5;1.5;2
2;assignment_try_START>assignment_sub_END;254;633822;512624.23622047243;254;254;254;1.3543307086614174;0.5033886601463353;1.5;1.5;2
2;assignment_vis_END>resource_vis_END;495;633768;284919.8262626263;1398;495;495;1.412121212121212;0.49782375124352146;1.5;1.5;2
2;assignment_vis_END>assignment_try_END;253;633843;296761.52173913043;506;253;253;1.4308300395256917;0.49816936979184895;1.5;1.5;2
2;assignment_vis_END>assignment_sub_END;890;633934;297520.9741573034;3822;890;890;1.3848314606741574;0.5157204978038074;1.5;1.5;2
2;assignment_vis_END>assignment_vis_END;275;633843;325481.8836363636;958;275;275;1.3836363636363636;0.5118178694805168;1.5;1.5;2
2;assignment_vis_END>forum_vis_END;209;632247;322769.4593301435;418;209;209;1.3564593301435406;0.49610880041340333;1.5;1.5;2
2;forum_vis_START>assignment_sub_END;250;633918;487155.976;250;250;250;1.428;0.4937521287636485;1.5;1.5;2
