scenery;sequence_size;sequence;total;total_time_span;avg_time_span;i_support;s_support;ids;grade_avg;grade_avg_deviation;grade_median;grade_mode;max_grade
4;2;assignment_vis>assignment_try;2085;633943;248385.67913669063;140077;2085;2085;1.3772182254196643;0.5204862012159001;1.5;1.5;2
4;2;assignment_vis>assignment_sub;2085;633943;248385.67913669063;188418;2085;2085;1.3772182254196643;0.5204862012159001;1.5;1.5;2
4;2;assignment_try>assignment_sub;2085;633943;248385.67913669063;116234;2085;2085;1.3772182254196643;0.5204862012159001;1.5;1.5;2
4;3;assignment_vis>assignment_try>assignment_sub;2085;633943;248385.67913669063;71990;2085;2085;1.3772182254196643;0.5204862012159001;1.5;1.5;2
4;2;resource_vis>assignment_sub;1829;633943;267590.589393111;157956;1829;1829;1.4149808638600327;0.5016545514803153;1.5;1.5;2
3;2;resource_vis>assignment_sub;1829;633943;267584.6429743029;44736;1829;1829;1.4149808638600327;0.5016545514803153;1.5;1.5;2
3;2;assignment_vis>assignment_sub;1237;633934;309783.3168957154;26609;1237;1237;1.372271624898949;0.5196922451991103;1.5;1.5;2
3;2;resource_vis>resource_vis;1102;633934;327487.667876588;37230;1102;1102;1.3983666061705988;0.5057499174601974;1.5;1.5;2
3;3;resource_vis>resource_vis>assignment_sub;1102;633934;327487.667876588;18615;1102;1102;1.3983666061705988;0.5057499174601974;1.5;1.5;2
3;2;assignment_try>assignment_sub;974;633927;293539.3398357289;8408;974;974;1.376283367556468;0.5147786578602909;1.5;1.5;2
2;2;assignment_vis_END>assignment_sub_END;1788;633927;270285.50391498883;25798;1788;1788;1.376677852348993;0.516681691208071;1.5;1.5;2
2;2;assignment_try_END>assignment_sub_END;1700;633943;255287.99647058823;17138;1700;1700;1.3723529411764706;0.5241661941398387;1.5;1.5;2
2;2;assignment_vis_END>assignment_try_END;1635;633852;251751.67951070337;18704;1635;1635;1.374006116207951;0.5198302966298429;1.5;1.5;2
2;3;assignment_vis_END>assignment_try_END>assignment_sub_END;1635;633852;251751.67951070337;9352;1635;1635;1.374006116207951;0.5198302966298429;1.5;1.5;2
2;2;resource_vis_END>assignment_sub_END;1167;633852;246885.4832904884;14330;1167;1167;1.4108826049700085;0.5027640503488943;1.5;1.5;2
1;2;resource_vis_END>assignment_sub_END;1167;633852;246879.57240788348;4278;1167;1167;1.4108826049700085;0.5027640503488943;1.5;1.5;2
1;2;assignment_vis_END>assignment_sub_END;890;633934;297520.9741573034;3822;890;890;1.3848314606741574;0.5157204978038074;1.5;1.5;2
1;2;assignment_try_END>assignment_sub_END;683;633927;275536.7613469985;2201;683;683;1.3792093704245971;0.5112872218774638;1.5;1.5;2
1;2;resource_vis_START>assignment_sub_END;633;633907;495728.00157977885;2111;633;633;1.4257503949447077;0.500806736142621;1.5;1.5;2
1;2;assignment_vis_END>resource_vis_END;495;633768;284919.8262626263;1398;495;495;1.412121212121212;0.4978237512435214;1.5;1.5;2
