scenery;sequence_size;sequence;total;total_time_span;avg_time_span;i_support;s_support;ids;grade_avg;grade_avg_deviation;grade_median;grade_mode;max_grade
1;2;resource_vis_START>assignment_vis_START;284;633822;442742.7;523;284;284;1.41;0.54;1.5;1.5;2
1;2;resource_vis_START>resource_vis_START;190;633747;411009.62;190;190;190;1.42;0.54;1.5;1.5;2
1;2;resource_vis_START>assignment_sub_END;633;633907;495728.0;2111;633;633;1.43;0.5;1.5;1.5;2
1;2;resource_vis_START>assignment_try_END;208;633398;511694.82;416;208;208;1.4;0.48;1.5;1.5;2
1;2;resource_vis_START>resource_vis_END;322;633832;512127.12;644;322;322;1.41;0.5;1.5;1.5;2
1;2;resource_vis_START>assignment_try_START;210;633822;366797.09;210;210;210;1.37;0.54;1.5;1.5;2
1;2;resource_vis_START>assignment_sub_START;261;633500;214355.0;261;261;261;1.41;0.52;1.5;1.5;2
1;2;resource_vis_START>assignment_vis_END;317;633907;513859.11;634;317;317;1.42;0.51;1.5;1.5;2
1;2;resource_vis_START>forum_vis_START;201;633575;421155.57;201;201;201;1.44;0.5;1.5;1.5;2
1;2;resource_vis_START>forum_vis_END;199;632734;489258.07;398;199;199;1.43;0.51;1.5;1.5;2
1;2;assignment_vis_START>resource_vis_START;254;633832;407113.7;447;254;254;1.4;0.52;1.5;1.5;2
1;2;assignment_vis_START>assignment_sub_END;491;633907;517004.36;1702;491;491;1.39;0.52;1.5;1.5;2
1;2;assignment_vis_START>assignment_vis_END;290;633907;524012.79;580;290;290;1.4;0.53;1.5;1.5;2
1;2;assignment_vis_START>resource_vis_END;300;633832;528315.06;600;300;300;1.41;0.5;1.5;1.5;2
1;2;assignment_vis_START>assignment_try_END;189;633655;532006.34;378;189;189;1.39;0.5;1.5;1.5;2
1;2;assignment_try_END>resource_vis_END;286;633852;264810.37;572;286;286;1.37;0.52;1.5;1.5;2
1;2;assignment_try_END>assignment_sub_END;683;633927;275536.76;2201;683;683;1.38;0.51;1.5;1.5;2
1;2;assignment_try_END>assignment_vis_END;239;633918;294202.19;478;239;239;1.36;0.52;1.5;1.5;2
1;2;resource_vis_END>assignment_sub_END;1167;633852;246879.57;4278;1167;1167;1.41;0.5;1.5;1.5;2
1;2;resource_vis_END>assignment_try_END;343;633843;247519.0;686;343;343;1.42;0.49;1.5;1.5;2
1;2;resource_vis_END>resource_vis_END;256;633686;295012.35;512;256;256;1.4;0.5;1.5;1.5;2
1;2;resource_vis_END>assignment_vis_END;435;633843;286341.77;1278;435;435;1.39;0.52;1.5;1.5;2
1;2;resource_vis_END>forum_vis_END;239;632322;304449.49;478;239;239;1.39;0.5;1.5;1.5;2
1;2;assignment_try_START>assignment_sub_END;254;633822;512624.24;254;254;254;1.35;0.5;1.5;1.5;2
1;2;assignment_vis_END>resource_vis_END;495;633768;284919.83;1398;495;495;1.41;0.5;1.5;1.5;2
1;2;assignment_vis_END>assignment_try_END;253;633843;296761.52;506;253;253;1.43;0.5;1.5;1.5;2
1;2;assignment_vis_END>assignment_sub_END;890;633934;297520.97;3822;890;890;1.38;0.52;1.5;1.5;2
1;2;assignment_vis_END>assignment_vis_END;275;633843;325481.88;958;275;275;1.38;0.51;1.5;1.5;2
1;2;assignment_vis_END>forum_vis_END;209;632247;322769.46;418;209;209;1.36;0.5;1.5;1.5;2
1;2;forum_vis_START>assignment_sub_END;250;633918;487155.98;250;250;250;1.43;0.49;1.5;1.5;2
1;2;forum_vis_END_SOME>assignment_sub_END;233;633569;357219.48;233;233;233;1.45;0.46;1.5;1.5;2
1;2;forum_participation_END>assignment_sub_END;179;633077;375942.34;179;179;179;1.44;0.46;1.5;1.5;2
1;2;forum_vis_END>forum_vis_END;188;633077;356582.88;376;188;188;1.38;0.5;1.5;1.5;2
1;2;forum_vis_END>assignment_sub_END;463;633077;329029.4;1744;463;463;1.38;0.5;1.5;1.5;2
1;2;forum_vis_END>resource_vis_END;231;632059;317266.86;462;231;231;1.37;0.52;1.5;1.5;2
1;2;forum_vis_END>assignment_vis_END;215;633077;364769.51;430;215;215;1.35;0.53;1.5;1.5;2
1;2;resource_vis_END_SOME>assignment_sub_END;210;633018;271550.1;210;210;210;1.36;0.53;1.5;1.5;2
1;3;resource_vis_START>assignment_vis_START>assignment_sub_END;239;633822;510305.27;239;239;239;1.41;0.53;1.5;1.5;2
1;3;resource_vis_START>assignment_try_END>assignment_sub_END;208;633398;511694.82;208;208;208;1.4;0.48;1.5;1.5;2
1;3;resource_vis_START>resource_vis_END>assignment_sub_END;322;633832;512127.12;322;322;322;1.41;0.5;1.5;1.5;2
1;3;resource_vis_START>assignment_vis_END>assignment_sub_END;317;633907;513859.11;317;317;317;1.42;0.51;1.5;1.5;2
1;3;resource_vis_START>forum_vis_END>assignment_sub_END;199;632734;489258.07;199;199;199;1.43;0.51;1.5;1.5;2
1;3;assignment_vis_START>resource_vis_START>assignment_sub_END;193;633832;510520.23;193;193;193;1.41;0.53;1.5;1.5;2
1;3;assignment_vis_START>assignment_vis_END>assignment_sub_END;290;633907;524012.79;290;290;290;1.4;0.53;1.5;1.5;2
1;3;assignment_vis_START>resource_vis_END>assignment_sub_END;300;633832;528315.06;300;300;300;1.41;0.5;1.5;1.5;2
1;3;assignment_vis_START>assignment_try_END>assignment_sub_END;189;633655;532006.34;189;189;189;1.39;0.5;1.5;1.5;2
1;3;assignment_try_END>resource_vis_END>assignment_sub_END;286;633852;264810.37;286;286;286;1.37;0.52;1.5;1.5;2
1;3;assignment_try_END>assignment_vis_END>assignment_sub_END;239;633918;294202.19;239;239;239;1.36;0.52;1.5;1.5;2
1;3;resource_vis_END>assignment_try_END>assignment_sub_END;343;633843;247519.0;343;343;343;1.42;0.49;1.5;1.5;2
1;3;resource_vis_END>resource_vis_END>assignment_sub_END;256;633686;295012.35;256;256;256;1.4;0.5;1.5;1.5;2
1;3;resource_vis_END>assignment_vis_END>assignment_sub_END;435;633843;286341.77;639;435;435;1.39;0.52;1.5;1.5;2
1;3;resource_vis_END>forum_vis_END>assignment_sub_END;239;632322;304449.49;239;239;239;1.39;0.5;1.5;1.5;2
1;3;assignment_vis_END>resource_vis_END>assignment_sub_END;495;633768;284919.83;699;495;495;1.41;0.5;1.5;1.5;2
1;3;assignment_vis_END>resource_vis_END>assignment_vis_END;204;633768;307950.32;408;204;204;1.4;0.51;1.5;1.5;2
1;3;assignment_vis_END>assignment_try_END>assignment_sub_END;253;633843;296761.52;253;253;253;1.43;0.5;1.5;1.5;2
1;3;assignment_vis_END>assignment_vis_END>assignment_sub_END;275;633843;325481.88;479;275;275;1.38;0.51;1.5;1.5;2
1;3;assignment_vis_END>forum_vis_END>assignment_sub_END;209;632247;322769.46;209;209;209;1.36;0.5;1.5;1.5;2
1;3;forum_vis_END>forum_vis_END>assignment_sub_END;188;633077;356582.88;188;188;188;1.38;0.5;1.5;1.5;2
1;3;forum_vis_END>resource_vis_END>assignment_sub_END;231;632059;317266.86;231;231;231;1.37;0.52;1.5;1.5;2
1;3;forum_vis_END>assignment_vis_END>assignment_sub_END;215;633077;364769.51;215;215;215;1.35;0.53;1.5;1.5;2
1;4;assignment_vis_END>resource_vis_END>assignment_vis_END>assignment_sub_END;204;633768;307950.32;204;204;204;1.4;0.51;1.5;1.5;2
2;2;resource_vis_START>assignment_vis_START;476;633822;351284.66;4268;476;476;1.44;0.52;1.5;1.5;2
2;2;resource_vis_START>resource_vis_START;190;633747;411010.91;190;190;190;1.42;0.54;1.5;1.5;2
2;2;resource_vis_START>assignment_vis_END;610;633907;495300.42;7168;610;610;1.42;0.5;1.5;1.5;2
2;2;resource_vis_START>assignment_try_END;523;633907;499119.95;4594;523;523;1.41;0.51;1.5;1.5;2
2;2;resource_vis_START>assignment_sub_END;633;633907;495728.79;6788;633;633;1.43;0.5;1.5;1.5;2
2;2;resource_vis_START>resource_vis_END;322;633832;512128.03;2894;322;322;1.41;0.5;1.5;1.5;2
2;2;resource_vis_START>assignment_try_START;343;633822;305196.4;2184;343;343;1.43;0.51;1.5;1.5;2
2;2;resource_vis_START>assignment_sub_START;261;633500;214358.38;978;261;261;1.41;0.52;1.5;1.5;2
2;2;resource_vis_START>forum_vis_START;201;633575;421156.31;201;201;201;1.44;0.5;1.5;1.5;2
2;2;resource_vis_START>forum_vis_END;199;632743;489258.79;782;199;199;1.43;0.51;1.5;1.5;2
2;2;assignment_vis_START>resource_vis_START;314;633832;394887.75;1183;314;314;1.4;0.52;1.5;1.5;2
2;2;assignment_vis_START>assignment_vis_END;568;633907;515408.94;8802;568;568;1.38;0.51;1.5;1.5;2
2;2;assignment_vis_START>assignment_try_END;457;633907;524217.75;4304;457;457;1.37;0.54;1.5;1.5;2
2;2;assignment_vis_START>assignment_sub_END;599;633907;515765.44;8418;599;599;1.39;0.52;1.5;1.5;2
2;2;assignment_vis_START>assignment_vis_START;378;633822;355346.71;2817;378;378;1.36;0.54;1.5;1.5;2
2;2;assignment_vis_START>assignment_try_START;544;633822;317078.72;4004;544;544;1.36;0.53;1.5;1.5;2
2;2;assignment_vis_START>assignment_sub_START;350;633500;212032.0;1383;350;350;1.35;0.55;1.5;1.5;2
2;2;assignment_vis_START>resource_vis_END;355;633832;525974.36;3830;355;355;1.39;0.5;1.5;1.5;2
2;2;assignment_vis_START>forum_vis_END;180;632823;510903.74;704;180;180;1.39;0.53;1.5;1.5;2
2;2;assignment_vis_END>assignment_try_END;1635;633852;251751.68;18704;1635;1635;1.37;0.52;1.5;1.5;2
2;2;assignment_vis_END>assignment_sub_END;1788;633927;270285.5;25798;1788;1788;1.38;0.52;1.5;1.5;2
2;2;assignment_vis_END>resource_vis_END;619;633852;269709.56;7634;619;619;1.4;0.51;1.5;1.5;2
2;2;assignment_vis_END>assignment_vis_END;948;633852;275340.81;15062;948;948;1.39;0.5;1.5;1.5;2
2;2;assignment_vis_END>forum_vis_END;241;632271;321732.56;936;241;241;1.34;0.52;1.5;1.5;2
2;2;assignment_try_END>assignment_sub_END;1700;633943;255288.0;17138;1700;1700;1.37;0.52;1.5;1.5;2
2;2;assignment_try_END>resource_vis_END;296;633852;262947.3;2128;296;296;1.37;0.51;1.5;1.5;2
2;2;assignment_try_END>assignment_vis_END;680;633927;270326.94;8410;680;680;1.38;0.51;1.5;1.5;2
