sequence_size;sequence;total;total_time_span;avg_time_span;i_support;s_support;ids;grade_avg;grade_avg_deviation;grade_median;grade_mode;max_grade
2;assignment_vis_START>assignment_try_END;415;690442;577026.9855421687;2326;415;415;1.4096385542168675;0.5278738819310516;1.5;1.5;2
2;assignment_vis_START>assignment_sub_END;1208;690823;564481.1374172185;18134;1208;1208;1.3754139072847682;0.5544127363486957;1.5;1.5;2
2;assignment_vis_START>resource_vis_START;607;690566;440489.1532125206;5566;607;607;1.28500823723229;0.6189973460795193;1.5;1.5;2
2;assignment_vis_START>assignment_try_START;186;690116;429677.1989247312;186;186;186;1.368279569892473;0.5478352951457048;1.5;1.5;2
2;assignment_vis_START>assignment_sub_START;468;690609;391723.3247863248;2868;468;468;1.2628205128205128;0.6288446237848582;1.5;1.5;2
2;assignment_vis_START>assignment_vis_END;418;690704;573217.1555023923;6282;418;418;1.4114832535885167;0.5347064466895413;1.5;1.5;2
2;assignment_vis_START>resource_vis_END;604;690823;569796.071192053;8600;604;604;1.4403973509933774;0.5132640397693319;1.5;1.5;2
2;assignment_vis_START>forum_vis_START;511;690704;486538.3033268102;5810;511;511;1.331702544031311;0.589160950056898;1.5;1.5;2
2;assignment_vis_START>forum_vis_END;345;690704;560041.6028985507;2746;345;345;1.3666666666666667;0.5521276675193066;1.5;1.5;2
2;assignment_vis_START>assignment_vis_START;470;690704;525353.4744680851;4819;470;470;1.3351063829787233;0.572039974822557;1.5;1.5;2
2;assignment_vis_START>forum_participation_START;190;690590;487019.1947368421;380;190;190;1.3263157894736841;0.548052931888417;1.5;1.5;2
2;assignment_try_END>assignment_sub_END;546;690442;488477.4542124542;3405;546;546;1.3974358974358974;0.5414157626015457;1.5;1.5;2
2;assignment_try_END>resource_vis_END;229;690399;469625.2401746725;458;229;229;1.4061135371179039;0.5389701072661349;1.5;1.5;2
2;resource_vis_START>assignment_try_START;322;690428;456825.27639751555;1371;322;322;1.34472049689441;0.5991583526944197;1.5;1.5;2
2;resource_vis_START>resource_vis_START;355;690566;460121.0140845071;1835;355;355;1.2985915492957747;0.6160501478566064;1.5;1.5;2
2;resource_vis_START>assignment_sub_START;971;690728;418612.2708547889;9688;971;971;1.247167868177137;0.6510734289890455;1.5;1.5;2
2;resource_vis_START>assignment_vis_START;717;690728;535188.2454672245;10925;717;717;1.3549511854951186;0.5660493830386154;1.5;1.5;2
2;resource_vis_START>assignment_try_END;298;690442;592070.2449664429;1962;298;298;1.4026845637583893;0.5195758835994596;1.5;1.5;2
2;resource_vis_START>assignment_vis_END;346;690514;585720.5;4488;346;346;1.4017341040462428;0.5334029652123344;1.5;1.5;2
2;resource_vis_START>resource_vis_END;509;690633;584065.322200393;6578;509;509;1.425343811394892;0.5148638395666554;1.5;1.5;2
2;resource_vis_START>assignment_sub_END;861;690686;577879.4970963995;13216;861;861;1.3763066202090593;0.5365443424882251;1.5;1.5;2
2;resource_vis_START>forum_vis_START;441;690567;491316.39909297053;4421;441;441;1.3321995464852607;0.579150566150566;1.5;1.5;2
2;resource_vis_START>forum_vis_END;257;690561;570901.9260700389;1248;257;257;1.377431906614786;0.5372423258030228;1.5;1.5;2
2;assignment_try_START>resource_vis_START;315;690567;415418.0984126984;772;315;315;1.2619047619047619;0.6159836448911857;1.5;1.5;2
2;assignment_try_START>assignment_sub_START;534;690669;395811.234082397;2482;534;534;1.2734082397003745;0.6300516626182352;1.5;1.5;2
2;assignment_try_START>assignment_vis_START;398;690567;533384.5050251256;2061;398;398;1.3668341708542713;0.5473596137264161;1.5;1.5;2
2;assignment_try_START>forum_vis_START;195;690567;494240.06666666665;195;195;195;1.3128205128205128;0.5603659919533661;1.5;1.5;2
2;assignment_try_START>assignment_sub_END;480;690675;573040.89375;3233;480;480;1.39375;0.5251130706352521;1.5;1.5;2
2;assignment_try_START>assignment_try_END;178;689469;596344.5505617978;356;178;178;1.4073033707865168;0.4969995033360267;1.5;1.5;2
2;assignment_try_START>resource_vis_END;232;689960;583025.7715517242;1188;232;232;1.4482758620689655;0.48962973175659263;1.5;1.5;2
2;assignment_try_START>assignment_vis_END;184;689961;582326.445652174;368;184;184;1.4266304347826086;0.5135301102667978;1.5;1.5;2
2;assignment_sub_START>assignment_vis_START;894;690823;574252.7035794184;10098;894;894;1.3618568232662192;0.5621400853507017;1.5;1.5;2
2;assignment_sub_START>assignment_try_END;365;690442;598234.802739726;2246;365;365;1.3835616438356164;0.5340117962412093;1.5;1.5;2
2;assignment_sub_START>assignment_vis_END;361;690704;594334.7783933518;4208;361;361;1.386426592797784;0.5409443653482028;1.5;1.5;2
2;assignment_sub_START>resource_vis_END;536;690823;594994.2835820896;6090;536;536;1.414179104477612;0.5179980132137595;1.5;1.5;2
2;assignment_sub_START>assignment_sub_END;1070;690823;590731.8514018692;11896;1070;1070;1.3523364485981308;0.5549076553506861;1.5;1.5;2
2;assignment_sub_START>forum_vis_START;340;690704;558345.5470588235;1582;340;340;1.3588235294117648;0.5702132536226912;1.5;1.5;2
2;assignment_sub_START>resource_vis_START;205;690447;517318.3658536585;205;205;205;1.3560975609756099;0.5752445262190701;1.5;1.5;2
2;assignment_sub_START>forum_vis_END;277;690704;588096.8231046931;1010;277;277;1.3447653429602888;0.5608769975054866;1.5;1.5;2
2;assignment_vis_END>resource_vis_END;463;690745;491550.08639308857;4956;463;463;1.4244060475161988;0.5167208706305239;1.5;1.5;2
2;assignment_vis_END>assignment_sub_END;572;690764;492481.43706293707;6870;572;572;1.4073426573426573;0.5303225084236356;1.5;1.5;2
2;assignment_vis_END>forum_vis_END;265;690764;510340.77358490566;928;265;265;1.3566037735849057;0.5454736036312238;1.5;1.5;2
2;resource_vis_END>assignment_sub_END;831;690823;480107.2972322503;10234;831;831;1.4205776173285198;0.5238390752889834;1.5;1.5;2
