sequence_size;sequence;total;total_time_span;avg_time_span;i_support;s_support;ids;grade_avg;grade_avg_deviation;grade_median;grade_mode;max_grade
2;assignment_vis_END>assignment_try_END;1539;690823;471123.6718648473;161022;1539;1539;1.3606237816764133;0.5649342581000256;1.5;1.5;2
2;assignment_vis_END>assignment_sub_END;1688;690823;476662.634478673;208809;1688;1688;1.3634478672985781;0.5603870356853996;1.5;1.5;2
2;assignment_vis_END>assignment_vis_END;907;690764;485331.28665931645;109462;907;907;1.3875413450937155;0.5393246709188861;1.5;1.5;2
2;assignment_vis_END>resource_vis_END;584;690745;479711.3595890411;57518;584;584;1.417808219178082;0.5198541729165113;1.5;1.5;2
2;assignment_vis_END>forum_vis_END;290;690764;504425.9896551724;4388;290;290;1.3517241379310345;0.5443135988371153;1.5;1.5;2
2;assignment_try_END>assignment_sub_END;1539;690823;471123.6718648473;144926;1539;1539;1.3606237816764133;0.5649342581000256;1.5;1.5;2
2;assignment_try_END>assignment_vis_END;565;690442;482227.63185840705;35006;565;565;1.384070796460177;0.546031194988858;1.5;1.5;2
2;assignment_try_END>resource_vis_END;239;690399;472989.65271966526;2480;239;239;1.399581589958159;0.5368361961607896;1.5;1.5;2
2;assignment_vis_START>assignment_vis_END;1382;690823;566373.8617945007;291596;1382;1382;1.3657742402315485;0.5530189160230672;1.5;1.5;2
2;assignment_vis_START>assignment_try_END;1233;690823;570301.2822384428;200636;1233;1233;1.362530413625304;0.557889769046765;1.5;1.5;2
2;assignment_vis_START>assignment_sub_END;1382;690823;566373.8617945007;239904;1382;1382;1.3657742402315485;0.5530189160230672;1.5;1.5;2
2;assignment_vis_START>resource_vis_START;766;690609;428308.2402088773;57179;766;766;1.2741514360313315;0.6292730513184099;1.5;1.5;2
2;assignment_vis_START>assignment_vis_START;1390;690823;463356.3820143885;214270;1390;1390;1.3;0.6117990324898427;1.5;1.5;2
2;assignment_vis_START>assignment_try_START;1515;690748;413197.25874587457;150373;1515;1515;1.2333333333333334;0.653850836120962;1.5;1.5;2
2;assignment_vis_START>assignment_sub_START;1563;690748;416008.320537428;168470;1563;1563;1.2204094689699296;0.6626195144728362;1.5;1.5;2
2;assignment_vis_START>resource_vis_END;682;690823;571200.1583577712;121926;682;682;1.4266862170087977;0.516019884377142;1.5;1.5;2
2;assignment_vis_START>forum_vis_START;589;690704;488592.896434635;49303;589;589;1.33616298811545;0.5831239590524367;1.5;1.5;2
2;assignment_vis_START>forum_vis_END;387;690704;559896.4909560723;28174;387;387;1.3695090439276485;0.5485737671697434;1.5;1.5;2
2;assignment_vis_START>forum_participation_START;217;690590;489420.5069124424;1882;217;217;1.3317972350230414;0.55947478296175;1.5;1.5;2
2;resource_vis_START>assignment_vis_START;1073;690728;437029.3466915191;152357;1073;1073;1.2651444547996271;0.6401641016654296;1.5;1.5;2
2;resource_vis_START>assignment_try_START;823;690548;429519.9368165249;81294;823;823;1.2764277035236937;0.6425340433749909;1.5;1.5;2
2;resource_vis_START>resource_vis_START;355;690566;460183.5352112676;6113;355;355;1.2985915492957747;0.6160501478566064;1.5;1.5;2
2;resource_vis_START>assignment_sub_START;971;690728;418986.9989701339;97316;971;971;1.247167868177137;0.6510734289890455;1.5;1.5;2
2;resource_vis_START>assignment_vis_END;861;690686;578225.131242741;141222;861;861;1.3763066202090593;0.5365443424882251;1.5;1.5;2
2;resource_vis_START>assignment_try_END;766;690680;582978.5783289818;96022;766;766;1.372715404699739;0.540926042035256;1.5;1.5;2
2;resource_vis_START>resource_vis_END;509;690633;584556.8447937132;65920;509;509;1.425343811394892;0.5148638395666554;1.5;1.5;2
2;resource_vis_START>assignment_sub_END;861;690686;578225.131242741;116730;861;861;1.3763066202090593;0.5365443424882251;1.5;1.5;2
2;resource_vis_START>forum_vis_START;441;690567;491522.2947845805;17671;441;441;1.3321995464852607;0.579150566150566;1.5;1.5;2
2;resource_vis_START>forum_vis_END;257;690561;571192.1673151751;4884;257;257;1.377431906614786;0.5372423258030228;1.5;1.5;2
2;assignment_try_START>resource_vis_START;399;690567;438884.7192982456;9406;399;399;1.2882205513784462;0.6125870599422913;1.5;1.5;2
2;assignment_try_START>assignment_vis_START;1110;690748;476721.44504504505;130081;1110;1110;1.3112612612612613;0.5939348045532643;1.5;1.5;2
2;assignment_try_START>assignment_sub_START;1390;690748;402249.44460431655;120753;1390;1390;1.2147482014388489;0.6630468656551196;1.5;1.5;2
2;assignment_try_START>assignment_try_START;220;690361;325962.12727272726;880;220;220;1.2727272727272727;0.5973165396737902;1.5;1.5;2
2;assignment_try_START>forum_vis_START;366;690629;529058.6420765028;20156;366;366;1.3346994535519126;0.5715859142504857;1.5;1.5;2
2;assignment_try_START>assignment_vis_END;1036;690748;584470.0801158301;161752;1036;1036;1.3556949806949807;0.5518317320492918;1.5;1.5;2
2;assignment_try_START>assignment_sub_END;1036;690748;584470.0801158301;133686;1036;1036;1.3556949806949807;0.5518317320492918;1.5;1.5;2
2;assignment_try_START>forum_vis_END;271;690629;581099.8487084871;12216;271;271;1.3523985239852399;0.5630470704598052;1.5;1.5;2
2;assignment_try_START>resource_vis_END;512;690193;590379.654296875;68110;512;512;1.408203125;0.5218991866326559;1.5;1.5;2
2;assignment_try_START>assignment_try_END;887;690748;592969.3427282976;114378;887;887;1.3494926719278466;0.5582919692370973;1.5;1.5;2
2;assignment_sub_START>assignment_vis_START;1015;690823;532945.2551724138;119466;1015;1015;1.360591133004926;0.5547212151599377;1.5;1.5;2
2;assignment_sub_START>assignment_try_START;225;689286;340446.41777777777;898;225;225;1.3466666666666667;0.5259345423692409;1.5;1.5;2
2;assignment_sub_START>assignment_vis_END;1070;690823;591555.3514018692;170534;1070;1070;1.3523364485981308;0.5549076553506861;1.5;1.5;2
2;assignment_sub_START>assignment_try_END;973;690823;593841.138746146;123132;973;973;1.3473792394655704;0.560703754829293;1.5;1.5;2
2;assignment_sub_START>resource_vis_END;536;690823;595629.4570895522;74728;536;536;1.414179104477612;0.5179980132137595;1.5;1.5;2
2;assignment_sub_START>assignment_sub_END;1070;690823;591555.3514018692;138331;1070;1070;1.3523364485981308;0.5549076553506861;1.5;1.5;2
2;assignment_sub_START>forum_vis_START;340;690704;559022.2117647058;19221;340;340;1.3588235294117648;0.5702132536226912;1.5;1.5;2
2;assignment_sub_START>resource_vis_START;205;690447;517774.40975609754;408;205;205;1.3560975609756099;0.5752445262190701;1.5;1.5;2
2;assignment_sub_START>forum_vis_END;277;690704;588817.1949458484;12440;277;277;1.3447653429602888;0.5608769975054866;1.5;1.5;2
2;resource_vis_END>assignment_vis_END;791;690823;482588.0657395702;87360;791;791;1.4216182048040455;0.5230634309355698;1.5;1.5;2
2;resource_vis_END>assignment_sub_END;831;690823;481329.9410348977;89119;831;831;1.4205776173285198;0.5238390752889834;1.5;1.5;2
2;resource_vis_END>forum_vis_END;211;690590;492390.336492891;834;211;211;1.3507109004739337;0.5347335489796983;1.5;1.5;2
2;resource_vis_END>assignment_try_END;636;690823;475116.858490566;63450;636;636;1.42374213836478;0.5242940416065031;1.5;1.5;2
2;resource_vis_END>resource_vis_END;191;690649;486049.1465968586;382;191;191;1.387434554973822;0.5371946767182324;1.5;1.5;2
2;forum_vis_END>assignment_vis_END;457;690764;498181.77242888405;25282;457;457;1.3665207877461707;0.5538101043626009;1.5;1.5;2
2;forum_vis_END>assignment_try_END;382;690764;495590.48167539266;18202;382;382;1.37434554973822;0.5552625502449743;1.5;1.5;2
2;forum_vis_END>assignment_sub_END;463;690764;494487.2203023758;24938;463;463;1.369330453563715;0.5521396641665021;1.5;1.5;2
2;forum_vis_END>forum_vis_END;221;690704;507176.0678733032;2320;221;221;1.3755656108597285;0.536521008224801;1.5;1.5;2
2;forum_vis_END>resource_vis_END;211;690590;493411.5971563981;830;211;211;1.3886255924170616;0.5504660424706849;1.5;1.5;2
2;forum_vis_START>assignment_vis_START;582;690704;457136.9639175258;31859;582;582;1.3118556701030928;0.5985470012420492;1.5;1.5;2
2;forum_vis_START>assignment_sub_START;369;690561;404831.31165311654;8160;369;369;1.2737127371273713;0.6338611268451223;1.5;1.5;2
2;forum_vis_START>forum_vis_START;418;690764;487730.6866028708;18203;418;418;1.36244019138756;0.5515191816114241;1.5;1.5;2
2;forum_vis_START>resource_vis_START;341;690567;462787.8005865103;4660;341;341;1.3269794721407624;0.5935729026445178;1.5;1.5;2
2;forum_vis_START>assignment_try_START;359;690567;419046.87465181056;7642;359;359;1.318941504178273;0.6168744377810409;1.5;1.5;2
2;forum_vis_START>assignment_vis_END;590;690764;566723.1661016949;60534;590;590;1.373728813559322;0.548717901567952;1.5;1.5;2
2;forum_vis_START>assignment_sub_END;590;690764;566723.1661016949;56817;590;590;1.373728813559322;0.548717901567952;1.5;1.5;2
2;forum_vis_START>forum_participation_START;301;690764;481580.9900332226;6080;301;301;1.388704318936877;0.5523332167100623;1.5;1.5;2
2;forum_vis_START>assignment_try_END;510;690764;572377.6235294117;41394;510;510;1.3764705882352941;0.5531081084953888;1.5;1.5;2
2;forum_vis_START>resource_vis_END;308;690661;575884.2207792208;8818;308;308;1.4172077922077921;0.5172553433578462;1.5;1.5;2
2;forum_vis_START>forum_vis_END;293;690764;565913.3754266212;8554;293;293;1.4095563139931742;0.5245782465134576;1.5;1.5;2
2;forum_participation_START>forum_vis_START;271;690764;489599.8376383764;4734;271;271;1.3874538745387455;0.5521585359210595;1.5;1.5;2
2;forum_participation_START>assignment_vis_START;213;690453;454191.1267605634;818;213;213;1.3873239436619718;0.5464109943569817;1.5;1.5;2
2;forum_participation_START>assignment_vis_END;245;690764;569304.6816326531;4574;245;245;1.4122448979591837;0.5175734101179827;1.5;1.5;2
2;forum_participation_START>assignment_try_END;217;690764;572981.3087557603;3280;217;217;1.4055299539170507;0.5173533253193405;1.5;1.5;2
2;forum_participation_START>assignment_sub_END;245;690764;569304.6816326531;4574;245;245;1.4122448979591837;0.5175734101179827;1.5;1.5;2
3;assignment_vis_END>assignment_try_END>assignment_sub_END;1539;690823;471123.6718648473;80511;1539;1539;1.3606237816764133;0.5649342581000256;1.5;1.5;2
3;assignment_vis_END>assignment_try_END>assignment_vis_END;565;690442;482227.63185840705;17500;565;565;1.384070796460177;0.546031194988858;1.5;1.5;2
3;assignment_vis_END>assignment_try_END>resource_vis_END;239;690399;472989.65271966526;1240;239;239;1.399581589958159;0.5368361961607896;1.5;1.5;2
3;assignment_vis_END>assignment_vis_END>assignment_sub_END;907;690764;485331.28665931645;54731;907;907;1.3875413450937155;0.5393246709188861;1.5;1.5;2
3;assignment_vis_END>assignment_vis_END>resource_vis_END;186;690661;517593.3870967742;372;186;186;1.3978494623655915;0.5227739927408362;1.5;1.5;2
3;assignment_vis_END>assignment_vis_END>assignment_vis_END;321;690704;505254.7788161994;4334;321;321;1.398753894080997;0.5433101714192375;1.5;2.0;2
3;assignment_vis_END>assignment_vis_END>assignment_try_END;527;690764;474518.25616698293;23518;527;527;1.394686907020873;0.5479049682726976;1.5;1.5;2
3;assignment_vis_END>resource_vis_END>assignment_vis_END;540;690745;482216.75925925927;26276;540;540;1.4185185185185185;0.518515819018996;1.5;1.5;2
3;assignment_vis_END>resource_vis_END>assignment_sub_END;584;690745;479711.3595890411;28759;584;584;1.417808219178082;0.5198541729165113;1.5;1.5;2
3;assignment_vis_END>resource_vis_END>assignment_try_END;380;690745;473221.6842105263;16644;380;380;1.431578947368421;0.5167920447313115;1.5;1.5;2
3;assignment_vis_END>forum_vis_END>assignment_vis_END;283;690764;510563.55477031803;2178;283;283;1.3462897526501767;0.5476047269904443;1.5;1.5;2
3;assignment_vis_END>forum_vis_END>assignment_try_END;207;690764;509491.80193236715;822;207;207;1.357487922705314;0.5421366114144618;1.5;1.5;2
3;assignment_vis_END>forum_vis_END>assignment_sub_END;290;690764;504425.9896551724;2194;290;290;1.3517241379310345;0.5443135988371153;1.5;1.5;2
3;assignment_try_END>assignment_vis_END>assignment_sub_END;565;690442;482227.63185840705;17503;565;565;1.384070796460177;0.546031194988858;1.5;1.5;2
3;assignment_try_END>resource_vis_END>assignment_vis_END;193;690399;477690.2901554404;772;193;193;1.3963730569948187;0.539711830612992;1.5;1.5;2
3;assignment_try_END>resource_vis_END>assignment_sub_END;239;690399;472989.65271966526;1240;239;239;1.399581589958159;0.5368361961607896;1.5;1.5;2
3;assignment_vis_START>assignment_vis_END>assignment_try_END;1233;690823;570301.2822384428;110190;1233;1233;1.362530413625304;0.557889769046765;1.5;1.5;2
3;assignment_vis_START>assignment_vis_END>assignment_vis_END;742;690704;574801.846361186;72614;742;742;1.3908355795148248;0.5319199582881218;1.5;1.5;2
3;assignment_vis_START>assignment_vis_END>assignment_sub_END;1382;690823;566373.8617945007;145798;1382;1382;1.3657742402315485;0.5530189160230672;1.5;1.5;2
3;assignment_vis_START>assignment_vis_END>resource_vis_END;470;690661;578030.0404255319;38256;470;470;1.4234042553191488;0.5052866635372355;1.5;1.5;2
3;assignment_vis_START>assignment_vis_END>forum_vis_END;242;690704;570502.3388429752;1694;242;242;1.3553719008264462;0.5425390458783551;1.5;1.5;2
3;assignment_vis_START>assignment_try_END>assignment_vis_END;455;690442;580307.8593406593;22608;455;455;1.3923076923076922;0.535569763145946;1.5;1.5;2
3;assignment_vis_START>assignment_try_END>assignment_sub_END;1233;690823;570301.2822384428;100318;1233;1233;1.362530413625304;0.557889769046765;1.5;1.5;2
3;assignment_vis_START>assignment_try_END>resource_vis_END;188;690399;586515.4202127659;752;188;188;1.4175531914893618;0.5064929985531318;1.5;1.5;2
