sequence_size;sequence;total;total_time_span;avg_time_span;i_support;s_support;ids;grade_avg;grade_avg_deviation;grade_median;grade_mode;max_grade
2;assignment_sub>assignment_sub;1252;690823;522360.95607028756;16471;1252;1252;1.3558306709265175;0.5527544833528678;1.5;1.5;2
2;assignment_sub>assignment_try;482;690442;552286.3381742738;3598;482;482;1.3900414937759336;0.5291349374766997;1.5;1.5;2
2;assignment_sub>assignment_vis;679;690823;564429.2430044182;12954;679;679;1.3755522827687776;0.5608071615180864;1.5;1.5;2
2;assignment_sub>resource_vis;652;690823;563476.4708588957;10696;652;652;1.3995398773006136;0.5347665008103303;1.5;1.5;2
2;assignment_sub>forum_vis;470;690704;558081.2489361702;9826;470;470;1.3468085106382979;0.5682993984899184;1.5;1.5;2
2;assignment_sub>forum_participation;196;690590;557443.2806122449;1504;196;196;1.3545918367346939;0.5458743508421864;1.5;1.5;2
2;assignment_try>assignment_sub;1040;690675;418785.4432692308;12916;1040;1040;1.33125;0.595244528816233;1.5;1.5;2
2;assignment_try>resource_vis;600;690567;439266.6066666667;6733;600;600;1.3516666666666666;0.5804240193967769;1.5;1.5;2
2;assignment_try>assignment_vis;396;690567;507326.3409090909;4302;396;396;1.3825757575757576;0.5355460308958375;1.5;1.5;2
2;assignment_try>forum_vis;302;690567;491117.9635761589;1402;302;302;1.3427152317880795;0.5551898705774508;1.5;1.5;2
2;assignment_try>assignment_try;262;690567;530951.4847328244;910;262;262;1.3740458015267176;0.539062302963728;1.5;1.5;2
2;assignment_vis>resource_vis;1029;690823;450266.43051506317;27982;1029;1029;1.3445092322643344;0.5860916160922223;1.5;1.5;2
2;assignment_vis>assignment_try;474;690567;492693.10126582277;4820;474;474;1.3945147679324894;0.5541039247297365;1.5;1.5;2
2;assignment_vis>assignment_sub;1230;690823;450698.343902439;36903;1230;1230;1.338211382113821;0.5893025659814276;1.5;1.5;2
2;assignment_vis>assignment_vis;572;690704;514538.4982517483;16632;572;572;1.3496503496503496;0.5693113947749009;1.5;1.5;2
2;assignment_vis>forum_vis;710;690764;482046.0140845071;29328;710;710;1.3309859154929577;0.5838908328941954;1.5;1.5;2
2;assignment_vis>forum_participation;273;690590;494289.8021978022;4348;273;273;1.3516483516483517;0.5431449752359965;1.5;1.5;2
2;resource_vis>assignment_try;592;690442;479390.98141891893;7245;592;592;1.3682432432432432;0.5762105229776183;1.5;1.5;2
2;resource_vis>resource_vis;763;690823;499994.9619921363;19524;763;763;1.3781127129750983;0.5608211105047441;1.5;1.5;2
2;resource_vis>assignment_sub;1494;690823;405575.2737617135;37996;1494;1494;1.2958500669344042;0.6204455059584425;1.5;1.5;2
2;resource_vis>assignment_vis;710;690823;511043.8676056338;19692;710;710;1.3633802816901408;0.5636470593457296;1.5;1.5;2
2;resource_vis>forum_vis;602;690704;480253.5996677741;20516;602;602;1.3289036544850499;0.5788523219862031;1.5;1.5;2
2;resource_vis>forum_participation;208;690590;485385.8798076923;1604;208;208;1.4423076923076923;0.5098436451984453;1.5;1.5;2
2;forum_vis>assignment_sub;899;690764;452246.56729699665;39037;899;899;1.3231368186874304;0.5968353383691107;1.5;1.5;2
2;forum_vis>assignment_vis;513;690764;501043.12670565303;18878;513;513;1.334307992202729;0.5640883465983243;1.5;1.5;2
2;forum_vis>forum_vis;553;690764;480335.7811934901;37042;553;553;1.3481012658227849;0.5594065604473933;1.5;1.5;2
2;forum_vis>forum_participation;360;690764;467161.44444444444;17434;360;360;1.386111111111111;0.5518531847155148;1.5;1.5;2
2;forum_vis>resource_vis;567;690704;474751.5714285714;18230;567;567;1.353615520282187;0.572253138072928;1.5;1.5;2
2;forum_vis>assignment_try;363;690567;497008.5179063361;3264;363;363;1.3429752066115703;0.5782656169036701;1.5;1.5;2
2;forum_participation>forum_vis;335;690764;473540.10746268654;16418;335;335;1.3850746268656717;0.5521470697465718;1.5;1.5;2
2;forum_participation>forum_participation;228;690764;493603.4342105263;8004;228;228;1.3793859649122806;0.5286218222808966;1.5;1.5;2
2;forum_participation>assignment_sub;360;690764;467161.44444444444;12764;360;360;1.386111111111111;0.5518531847155148;1.5;1.5;2
2;forum_participation>assignment_vis;199;690764;530931.2261306533;1568;199;199;1.42964824120603;0.510075630047254;1.5;1.5;2
2;forum_participation>resource_vis;194;690590;499583.8556701031;1500;194;194;1.4561855670103092;0.5083631016376696;1.5;1.5;2
3;assignment_sub>assignment_try>resource_vis;203;690399;569058.6600985222;406;203;203;1.3916256157635467;0.5223507581961656;1.5;1.5;2
