sequence_size;sequence;total;total_time_span;avg_time_span;i_support;s_support;ids;grade_avg;grade_avg_deviation;grade_median;grade_mode;max_grade
2;assignment_sub>assignment_vis;1161;690823;537015.8656330749;53580;1161;1161;1.359603789836348;0.5564011652353722;1.5;1.5;2
2;assignment_sub>assignment_sub;1252;690823;527821.8706070287;41964;1252;1252;1.3558306709265175;0.5527544833528678;1.5;1.5;2
2;assignment_sub>assignment_try;482;690442;555600.9626556017;8934;482;482;1.3900414937759336;0.5291349374766997;1.5;1.5;2
2;assignment_sub>resource_vis;652;690823;564769.518404908;23448;652;652;1.3995398773006136;0.5347665008103303;1.5;1.5;2
2;assignment_sub>forum_vis;470;690704;559766.9829787234;23758;470;470;1.3468085106382979;0.5682993984899184;1.5;1.5;2
2;assignment_sub>forum_participation;196;690590;560875.8520408163;2242;196;196;1.3545918367346939;0.5458743508421864;1.5;1.5;2
2;assignment_vis>assignment_vis;1469;690823;463681.33628318587;148543;1469;1469;1.3383253914227367;0.5729199318157209;1.5;1.5;2
2;assignment_vis>assignment_try;789;690675;461292.79340937897;25003;789;789;1.373891001267427;0.5561175178754537;1.5;1.5;2
2;assignment_vis>assignment_sub;1897;690823;418964.7754348972;151119;1897;1897;1.3136531365313653;0.60079780984476;1.5;1.5;2
2;assignment_vis>resource_vis;1135;690823;443073.3682819383;92313;1135;1135;1.3466960352422908;0.5840510400645585;1.5;1.5;2
2;assignment_vis>forum_vis;734;690764;482118.3133514986;107254;734;734;1.3303814713896458;0.5847452462269429;1.5;1.5;2
2;assignment_vis>forum_participation;277;690590;494305.31768953067;13834;277;277;1.3465703971119134;0.5491404412287968;1.5;1.5;2
2;assignment_try>assignment_vis;666;690567;499120.83633633633;20206;666;666;1.3573573573573574;0.5592004885453847;1.5;1.5;2
2;assignment_try>assignment_sub;1040;690675;431402.37115384615;30638;1040;1040;1.33125;0.595244528816233;1.5;1.5;2
2;assignment_try>resource_vis;600;690567;450192.1016666667;14245;600;600;1.3516666666666666;0.5804240193967769;1.5;1.5;2
2;assignment_try>forum_vis;302;690567;497427.1059602649;2664;302;302;1.3427152317880795;0.5551898705774508;1.5;1.5;2
2;assignment_try>assignment_try;263;690567;536884.0608365019;1348;263;263;1.3726235741444868;0.5385267212668973;1.5;1.5;2
2;resource_vis>assignment_try;592;690442;481702.71452702704;15061;592;592;1.3682432432432432;0.5762105229776183;1.5;1.5;2
2;resource_vis>resource_vis;974;690823;465188.69917864475;76476;974;974;1.3305954825462012;0.5841766323117336;1.5;1.5;2
2;resource_vis>assignment_sub;1494;690823;410147.2858099063;111920;1494;1494;1.2958500669344042;0.6204455059584425;1.5;1.5;2
2;resource_vis>assignment_vis;1104;690823;475352.6376811594;93475;1104;1104;1.3428442028985508;0.5724749193419044;1.5;1.5;2
2;resource_vis>forum_vis;602;690704;482493.78405315615;60586;602;602;1.3289036544850499;0.5788523219862031;1.5;1.5;2
2;resource_vis>forum_participation;208;690590;488376.1346153846;2756;208;208;1.4423076923076923;0.5098436451984453;1.5;1.5;2
2;forum_vis>forum_vis;706;690764;459829.1685552408;201906;706;706;1.3611898016997168;0.5679334200396864;1.5;1.5;2
2;forum_vis>assignment_sub;899;690764;454484.26362625137;139239;899;899;1.3231368186874304;0.5968353383691107;1.5;1.5;2
2;forum_vis>assignment_vis;685;690764;498222.5635036496;101530;685;685;1.3313868613138686;0.5694143683878532;1.5;1.5;2
2;forum_vis>forum_participation;360;690764;469415.3694444444;75684;360;360;1.386111111111111;0.5518531847155148;1.5;1.5;2
2;forum_vis>resource_vis;567;690704;476062.04761904763;54720;567;567;1.353615520282187;0.572253138072928;1.5;1.5;2
2;forum_vis>assignment_try;363;690567;498914.3250688705;7060;363;363;1.3429752066115703;0.5782656169036701;1.5;1.5;2
2;forum_participation>forum_vis;335;690764;475962.2358208955;66064;335;335;1.3850746268656717;0.5521470697465718;1.5;1.5;2
2;forum_participation>forum_participation;232;690764;496183.9396551724;29068;232;232;1.3836206896551724;0.527830480053948;1.5;1.5;2
2;forum_participation>assignment_sub;360;690764;469415.3694444444;44731;360;360;1.386111111111111;0.5518531847155148;1.5;1.5;2
2;forum_participation>assignment_vis;254;690764;518287.6968503937;9218;254;254;1.391732283464567;0.5399920867348587;1.5;1.5;2
2;forum_participation>resource_vis;194;690590;499762.78350515466;2228;194;194;1.4561855670103092;0.5083631016376696;1.5;1.5;2
3;assignment_sub>assignment_vis>assignment_sub;1161;690823;537015.8656330749;26790;1161;1161;1.359603789836348;0.5564011652353722;1.5;1.5;2
3;assignment_sub>assignment_vis>assignment_vis;905;690823;560060.4906077348;25772;905;905;1.3635359116022099;0.5514428831803505;1.5;1.5;2
3;assignment_sub>assignment_vis>assignment_try;437;690442;562049.704805492;4862;437;437;1.394736842105263;0.5304012128984371;1.5;1.5;2
3;assignment_sub>assignment_vis>resource_vis;595;690823;571654.087394958;12886;595;595;1.4042016806722688;0.5366053290098317;1.5;1.5;2
3;assignment_sub>assignment_vis>forum_vis;419;690704;562052.2338902148;9318;419;419;1.3436754176610979;0.5777177086203893;1.5;1.5;2
3;assignment_sub>assignment_try>assignment_vis;223;690442;571604.0941704036;844;223;223;1.304932735426009;0.5605843717028139;1.5;1.5;2
3;assignment_sub>assignment_try>resource_vis;203;690399;569213.7093596059;764;203;203;1.3916256157635467;0.5223507581961656;1.5;1.5;2
3;assignment_sub>assignment_try>assignment_sub;482;690442;555600.9626556017;4467;482;482;1.3900414937759336;0.5291349374766997;1.5;1.5;2
3;assignment_sub>resource_vis>assignment_vis;343;690823;585642.2740524781;3732;343;343;1.348396501457726;0.5700020982720222;1.5;1.5;2
3;assignment_sub>resource_vis>assignment_sub;652;690823;564769.518404908;11724;652;652;1.3995398773006136;0.5347665008103303;1.5;1.5;2
3;assignment_sub>resource_vis>forum_vis;208;690590;577127.1442307692;780;208;208;1.3173076923076923;0.567040338466135;1.5;1.5;2
3;assignment_sub>resource_vis>resource_vis;323;690823;577467.6749226006;3216;323;323;1.36687306501548;0.5649590261503707;1.5;1.5;2
3;assignment_sub>resource_vis>assignment_try;194;690387;579748.350515464;744;194;194;1.3711340206185567;0.5495092040767816;1.5;1.5;2
3;assignment_sub>forum_vis>forum_vis;369;690704;560799.1924119241;12382;369;369;1.3766937669376693;0.5445869156377791;1.5;1.5;2
3;assignment_sub>forum_vis>forum_participation;196;690590;560875.8520408163;1490;196;196;1.3545918367346939;0.5458743508421864;1.5;1.5;2
3;assignment_sub>forum_vis>assignment_sub;470;690704;559766.9829787234;11879;470;470;1.3468085106382979;0.5682993984899184;1.5;1.5;2
