sequence_size;sequence;total;total_time_span;avg_time_span;i_support;f_support;s_support;ids;grade_avg;grade_median;grade_mode;max_grade
1;assignment_sub_START;1454;690448;394874.33493810176;19356;61;1454;1454;1.08 (+- 0.63);1.0;1.5;2
1;assignment_vis_START;1251;690554;487141.6746602718;23633;77;1251;1251;1.18 (+- 0.56);1.0;1.5;2
1;assignment_try_END;598;690540;480654.61705685616;7115;27;598;598;1.26 (+- 0.52);1.5;1.5;2
1;assignment_sub_END;1519;690554;460871.83475971036;29712;98;1519;1519;1.21 (+- 0.54);1.0;1.5;2
1;assignment_try_START;650;690511;433721.75384615385;6038;22;650;650;1.17 (+- 0.60);1.0;1.5;2
1;resource_vis_START;761;690526;402786.2049934297;12346;47;761;761;1.11 (+- 0.61);1.0;1.5;2
1;forum_vis_START;472;690540;466035.27966101695;6450;29;472;472;1.22 (+- 0.56);1.5;1.5;2
1;assignment_vis_END;495;690319;467960.5070707071;8029;33;495;495;1.25 (+- 0.51);1.5;1.5;2
1;forum_vis_END;371;690540;491940.2318059299;4124;18;371;371;1.26 (+- 0.52);1.5;1.5;2
1;forum_participation_END;167;690075;507255.2874251497;668;4;167;167;1.31 (+- 0.53);1.5;1.5;2
1;forum_participation_START;192;690208;478630.5208333333;724;4;192;192;1.28 (+- 0.52);1.5;1.5;2
1;resource_vis_END;634;690540;463041.83753943216;11173;43;634;634;1.23 (+- 0.53);1.5;1.5;2
2;assignment_sub_START>assignment_vis_START;830;690319;559987.1506024096;7261;25;830;830;1.24 (+- 0.53);1.5;1.5;2
2;assignment_sub_START>assignment_try_END;382;690319;595208.5471204189;1915;7;382;382;1.25 (+- 0.52);1.5;1.5;2
2;assignment_sub_START>assignment_sub_END;948;690319;588237.6286919832;9235;31;948;948;1.23 (+- 0.53);1.5;1.5;2
2;assignment_sub_START>assignment_sub_START;260;689940;205443.21923076923;260;1;260;260;1.25 (+- 0.53);1.5;1.5;2
2;assignment_sub_START>forum_vis_START;233;690159;523162.69098712446;617;3;233;233;1.29 (+- 0.50);1.5;1.5;2
2;assignment_sub_START>resource_vis_START;167;690157;461835.7844311377;167;1;167;167;1.22 (+- 0.54);1.5;1.5;2
2;assignment_sub_START>assignment_vis_END;300;690237;598464.35;1898;8;300;300;1.23 (+- 0.52);1.5;1.5;2
2;assignment_sub_START>forum_vis_END;229;690227;596888.1397379913;840;4;229;229;1.27 (+- 0.53);1.5;1.5;2
2;assignment_sub_START>assignment_try_START;194;690230;473207.5360824742;194;1;194;194;1.31 (+- 0.53);1.5;1.5;2
2;assignment_sub_START>resource_vis_END;384;690249;594268.46875;3381;14;384;384;1.22 (+- 0.52);1.5;1.5;2
2;assignment_vis_START>assignment_try_END;436;690540;572766.9426605505;2053;7;436;436;1.25 (+- 0.52);1.5;1.5;2
2;assignment_vis_START>assignment_sub_END;1051;690554;568542.1018078021;12221;42;1051;1051;1.22 (+- 0.53);1.5;1.5;2
2;assignment_vis_START>resource_vis_START;501;690305;397075.15568862273;2845;11;501;501;1.11 (+- 0.61);1.0;1.5;2
2;assignment_vis_START>forum_vis_START;334;690540;466687.1766467066;1327;6;334;334;1.22 (+- 0.55);1.5;1.5;2
2;assignment_vis_START>assignment_vis_START;371;690305;511458.24528301886;2884;13;371;371;1.23 (+- 0.54);1.5;1.5;2
2;assignment_vis_START>assignment_sub_START;447;690305;354029.9418344519;2098;8;447;447;1.12 (+- 0.61);1.0;1.5;2
2;assignment_vis_START>assignment_vis_END;343;690319;576051.5043731779;2557;11;343;343;1.23 (+- 0.51);1.5;1.5;2
2;assignment_vis_START>forum_vis_END;266;690540;573794.9586466165;1268;6;266;266;1.28 (+- 0.51);1.5;1.5;2
2;assignment_vis_START>resource_vis_END;442;690540;570936.5972850679;4322;18;442;442;1.22 (+- 0.51);1.5;1.5;2
