sequence_size;sequence;total;total_time_span;avg_time_span;i_support;f_support;s_support;ids;grade_avg;grade_median;grade_mode;max_grade
1;assignment_vis_START;1709;690598;412045.5734347572;620799;2049;1709;1709;1.10 (+- 0.62);1.0;1.0;2
1;assignment_try_START;1438;690598;398110.4464534075;362853;1167;1438;1438;1.09 (+- 0.63);1.0;1.5;2
1;assignment_sub_START;1454;690598;397785.537826685;383964;1244;1454;1454;1.08 (+- 0.63);1.0;1.5;2
1;assignment_vis_END;1518;690598;463959.2371541502;648667;2145;1518;1518;1.21 (+- 0.54);1.0;1.5;2
1;assignment_try_END;1324;690598;451185.3262839879;473799;1510;1324;1324;1.21 (+- 0.54);1.0;1.5;2
1;assignment_sub_END;1519;690598;463971.3087557604;566866;1830;1519;1519;1.21 (+- 0.54);1.0;1.5;2
1;resource_vis_START;761;690526;405035.62812089355;130397;565;761;761;1.11 (+- 0.61);1.0;1.5;2
1;forum_vis_START;472;690584;467570.82627118647;46728;236;472;472;1.22 (+- 0.56);1.5;1.5;2
1;forum_vis_END;371;690598;493555.56603773584;32144;158;371;371;1.26 (+- 0.52);1.5;1.5;2
1;forum_participation_END;167;690133;507919.41916167666;1336;8;167;167;1.31 (+- 0.53);1.5;1.5;2
1;forum_participation_START;192;690266;479352.5416666667;724;4;192;192;1.28 (+- 0.52);1.5;1.5;2
1;resource_vis_END;634;690598;466456.45583596214;133543;569;634;634;1.23 (+- 0.53);1.5;1.5;2
2;assignment_vis_START>assignment_try_START;1438;690598;398110.4464534075;191689;629;1438;1438;1.09 (+- 0.63);1.0;1.5;2
2;assignment_vis_START>assignment_sub_START;1453;690598;398059.3062629043;218160;733;1453;1453;1.08 (+- 0.63);1.0;1.5;2
2;assignment_vis_START>assignment_vis_START;1289;690598;446831.6020170675;259701;914;1289;1289;1.17 (+- 0.58);1.0;1.5;2
2;assignment_vis_START>assignment_vis_END;1203;690598;569421.5852036575;440481;1489;1203;1203;1.22 (+- 0.53);1.0;1.5;2
2;assignment_vis_START>assignment_try_END;1011;690598;571805.509396637;314280;1017;1011;1011;1.22 (+- 0.53);1.0;1.5;2
2;assignment_vis_START>assignment_sub_END;1204;690598;569349.2217607973;385845;1275;1204;1204;1.22 (+- 0.53);1.0;1.5;2
2;assignment_vis_START>resource_vis_START;624;690526;402359.44391025644;39854;175;624;624;1.13 (+- 0.61);1.0;1.5;2
2;assignment_vis_START>forum_vis_START;390;690584;474449.29743589746;19007;99;390;390;1.23 (+- 0.55);1.5;1.5;2
2;assignment_vis_START>forum_vis_END;300;690598;575734.3566666667;16232;82;300;300;1.28 (+- 0.52);1.5;1.5;2
2;assignment_vis_START>resource_vis_END;499;690598;573162.6813627254;82086;360;499;499;1.23 (+- 0.51);1.5;1.5;2
2;assignment_try_START>assignment_sub_START;1315;690598;383582.9422053232;161174;512;1315;1315;1.08 (+- 0.63);1.0;1.5;2
2;assignment_try_START>assignment_vis_START;1102;690598;459829.4346642468;173599;576;1102;1102;1.20 (+- 0.57);1.0;1.5;2
2;assignment_try_START>assignment_vis_END;947;690598;584345.6388595565;250638;819;947;947;1.23 (+- 0.54);1.5;1.5;2
2;assignment_try_START>assignment_try_END;755;690598;591333.1430463577;184596;572;755;755;1.23 (+- 0.54);1.5;1.5;2
2;assignment_try_START>assignment_sub_END;948;690598;584237.9915611814;221430;703;948;948;1.23 (+- 0.54);1.5;1.5;2
2;assignment_try_START>resource_vis_START;335;690451;440359.5104477612;7138;34;335;335;1.18 (+- 0.59);1.0;1.5;2
2;assignment_try_START>assignment_try_START;315;690185;318989.69523809524;4720;20;315;315;1.25 (+- 0.54);1.5;1.5;2
2;assignment_try_START>forum_vis_END;225;690506;593215.6711111111;7596;40;225;225;1.27 (+- 0.53);1.5;1.5;2
2;assignment_try_START>forum_vis_START;251;690438;508330.2430278885;7222;40;251;251;1.27 (+- 0.52);1.5;1.5;2
2;assignment_try_START>resource_vis_END;386;690528;588765.4248704663;43440;192;386;386;1.22 (+- 0.52);1.5;1.5;2
2;assignment_sub_START>assignment_vis_START;1025;690598;492821.2975609756;166978;549;1025;1025;1.24 (+- 0.53);1.5;1.5;2
2;assignment_sub_START>assignment_vis_END;947;690598;590505.2312565998;269224;891;947;947;1.23 (+- 0.53);1.5;1.5;2
2;assignment_sub_START>assignment_try_END;794;690598;594537.6700251889;200198;632;794;794;1.22 (+- 0.53);1.5;1.5;2
2;assignment_sub_START>assignment_sub_END;948;690598;590391.0864978903;236096;760;948;948;1.23 (+- 0.53);1.5;1.5;2
2;assignment_sub_START>assignment_try_START;344;690258;341632.75;7418;34;344;344;1.27 (+- 0.53);1.5;1.5;2
2;assignment_sub_START>assignment_sub_START;260;690185;209790.79615384617;3656;16;260;260;1.25 (+- 0.53);1.5;1.5;2
2;assignment_sub_START>forum_vis_START;233;690438;524795.7768240343;6082;34;233;233;1.29 (+- 0.50);1.5;1.5;2
2;assignment_sub_START>resource_vis_START;167;690157;464067.23353293416;334;2;167;167;1.22 (+- 0.54);1.5;1.5;2
2;assignment_sub_START>forum_vis_END;229;690506;598191.3930131005;9012;48;229;229;1.27 (+- 0.53);1.5;1.5;2
2;assignment_sub_START>resource_vis_END;384;690528;596674.5729166666;48298;216;384;384;1.22 (+- 0.52);1.5;1.5;2
2;assignment_vis_END>assignment_try_END;1324;690598;451185.3262839879;305817;990;1324;1324;1.21 (+- 0.54);1.0;1.5;2
2;assignment_vis_END>assignment_vis_END;1150;690598;474978.6539130435;296893;1042;1150;1150;1.25 (+- 0.53);1.5;1.5;2
2;assignment_vis_END>assignment_sub_END;1518;690598;463959.2371541502;396299;1307;1518;1518;1.21 (+- 0.54);1.0;1.5;2
2;assignment_vis_END>forum_vis_END;293;690598;491848.53924914676;8218;42;293;293;1.27 (+- 0.53);1.5;1.5;2
2;assignment_vis_END>resource_vis_END;495;690598;462841.07272727275;40666;182;495;495;1.23 (+- 0.53);1.5;1.5;2
2;assignment_try_END>assignment_vis_END;968;690540;466196.0506198347;189388;618;968;968;1.26 (+- 0.52);1.5;1.5;2
2;assignment_try_END>assignment_sub_END;1324;690598;451185.3262839879;289247;909;1324;1324;1.21 (+- 0.54);1.0;1.5;2
2;assignment_try_END>assignment_try_END;701;690319;457930.1997146933;111884;340;701;701;1.27 (+- 0.52);1.5;1.5;2
2;assignment_try_END>forum_vis_END;170;689458;480082.46470588236;1348;8;170;170;1.33 (+- 0.48);1.5;1.5;2
2;assignment_try_END>resource_vis_END;265;688962;465316.3245283019;3592;16;265;265;1.21 (+- 0.54);1.5;1.5;2
2;assignment_sub_END>assignment_vis_END;891;690554;475954.76767676766;167482;546;891;891;1.27 (+- 0.52);1.5;1.5;2
2;assignment_sub_END>assignment_try_END;691;690540;459046.57597684517;114416;352;691;691;1.27 (+- 0.52);1.5;1.5;2
2;assignment_sub_END>assignment_sub_END;891;690554;475954.76767676766;159824;508;891;891;1.27 (+- 0.52);1.5;1.5;2
2;resource_vis_START>assignment_sub_START;623;690305;374605.68218298553;46629;205;623;623;1.11 (+- 0.63);1.0;1.5;2
2;resource_vis_START>assignment_vis_START;698;690526;401317.4971346705;76248;336;698;698;1.13 (+- 0.61);1.0;1.5;2
2;resource_vis_START>assignment_try_START;499;690249;370670.73146292585;25641;115;499;499;1.12 (+- 0.63);1.0;1.5;2
2;resource_vis_START>forum_vis_START;212;690526;465121.03301886795;1051;6;212;212;1.23 (+- 0.55);1.5;1.5;2
2;resource_vis_START>resource_vis_START;189;690259;436359.91005291004;356;2;189;189;1.16 (+- 0.57);1.0;1.0;2
2;resource_vis_START>assignment_vis_END;511;690526;578564.9138943248;81447;373;511;511;1.22 (+- 0.54);1.5;1.5;2
2;resource_vis_START>assignment_sub_END;512;690526;578376.888671875;69107;315;512;512;1.22 (+- 0.54);1.5;1.5;2
2;resource_vis_START>assignment_try_END;404;690526;582459.6509900991;47366;224;404;404;1.21 (+- 0.54);1.5;1.5;2
2;resource_vis_START>resource_vis_END;286;690470;582257.5944055944;17220;88;286;286;1.22 (+- 0.53);1.5;1.5;2
2;forum_vis_START>assignment_vis_START;378;690584;449179.5291005291;9397;46;378;378;1.23 (+- 0.56);1.5;1.5;2
2;forum_vis_START>resource_vis_START;186;690526;430377.58602150535;186;1;186;186;1.16 (+- 0.62);1.0;1.5;2
2;forum_vis_START>assignment_sub_START;259;690305;396561.3667953668;2624;14;259;259;1.19 (+- 0.60);1.5;1.5;2
2;forum_vis_START>assignment_try_START;253;690438;403957.5849802372;2631;14;253;253;1.23 (+- 0.60);1.5;1.5;2
2;forum_vis_START>assignment_vis_END;374;690584;569960.5374331551;25349;131;374;374;1.27 (+- 0.52);1.5;1.5;2
2;forum_vis_START>assignment_sub_END;375;690584;569726.7653333333;22940;119;375;375;1.27 (+- 0.52);1.5;1.5;2
2;forum_vis_START>forum_vis_START;266;690267;468075.08646616543;3175;17;266;266;1.25 (+- 0.54);1.5;1.5;2
2;forum_vis_START>assignment_try_END;300;690584;571038.0533333333;14476;78;300;300;1.27 (+- 0.53);1.5;1.0;2
2;forum_vis_START>forum_participation_START;190;690266;478050.4684210526;360;2;190;190;1.28 (+- 0.52);1.5;1.5;2
2;forum_vis_START>forum_vis_END;205;690482;573787.424390244;2156;12;205;205;1.31 (+- 0.52);1.5;1.5;2
2;forum_vis_START>resource_vis_END;170;690296;577616.1529411764;674;4;170;170;1.29 (+- 0.52);1.5;1.5;2
2;forum_vis_END>assignment_vis_END;368;690598;494324.39130434784;17000;84;368;368;1.26 (+- 0.52);1.5;1.5;2
