sequence_size;sequence;total;total_time_span;avg_time_span;i_support;f_support;s_support;ids;grade_avg;grade_median;grade_mode;max_grade
1;assignment_vis_START;1709;690598;412045.5734347572;1614466;5872;1709;1709;1.10 (+- 0.62);1.0;1.0;2
1;assignment_try_START;1438;690598;398110.4464534075;847574;3081;1438;1438;1.09 (+- 0.63);1.0;1.5;2
1;assignment_sub_START;1454;690598;397785.537826685;879633;3192;1454;1454;1.08 (+- 0.63);1.0;1.5;2
1;assignment_vis_END;1518;690598;463959.2371541502;1658644;5982;1518;1518;1.21 (+- 0.54);1.0;1.5;2
1;assignment_try_END;1324;690598;451185.3262839879;1081388;3871;1324;1324;1.21 (+- 0.54);1.0;1.5;2
1;assignment_sub_END;1519;690598;463971.3087557604;1333137;4772;1519;1519;1.21 (+- 0.54);1.0;1.5;2
1;resource_vis_START;761;690526;405035.62812089355;224954;1008;761;761;1.11 (+- 0.61);1.0;1.5;2
1;forum_vis_START;472;690584;467570.82627118647;93400;470;472;472;1.22 (+- 0.56);1.5;1.5;2
1;forum_vis_END;371;690598;493555.56603773584;58406;294;371;371;1.26 (+- 0.52);1.5;1.5;2
1;forum_participation_END;167;690133;507919.41916167666;1336;8;167;167;1.31 (+- 0.53);1.5;1.5;2
1;forum_participation_START;192;690266;479352.5416666667;1238;7;192;192;1.28 (+- 0.52);1.5;1.5;2
1;resource_vis_END;634;690598;466456.45583596214;221823;996;634;634;1.23 (+- 0.53);1.5;1.5;2
2;assignment_vis_START>assignment_try_START;1438;690598;398110.4464534075;507580;1892;1438;1438;1.09 (+- 0.63);1.0;1.5;2
2;assignment_vis_START>assignment_sub_START;1453;690598;398059.3062629043;555412;2077;1453;1453;1.08 (+- 0.63);1.0;1.5;2
2;assignment_vis_START>assignment_vis_START;1516;690598;425315.7216358839;1040075;3961;1516;1516;1.12 (+- 0.60);1.0;1.5;2
2;assignment_vis_START>assignment_vis_END;1203;690598;569421.5852036575;1280007;4743;1203;1203;1.22 (+- 0.53);1.0;1.5;2
2;assignment_vis_START>assignment_try_END;1011;690598;571805.509396637;820521;3032;1011;1011;1.22 (+- 0.53);1.0;1.5;2
2;assignment_vis_START>assignment_sub_END;1204;690598;569349.2217607973;1028490;3790;1204;1204;1.22 (+- 0.53);1.0;1.5;2
2;assignment_vis_START>resource_vis_START;624;690526;402359.44391025644;79458;363;624;624;1.13 (+- 0.61);1.0;1.5;2
2;assignment_vis_START>forum_vis_START;390;690584;474449.29743589746;37562;193;390;390;1.23 (+- 0.55);1.5;1.5;2
2;assignment_vis_START>forum_vis_END;300;690598;575734.3566666667;27632;142;300;300;1.28 (+- 0.52);1.5;1.5;2
2;assignment_vis_START>resource_vis_END;499;690598;573162.6813627254;150664;697;499;499;1.23 (+- 0.51);1.5;1.5;2
2;assignment_try_START>assignment_sub_START;1315;690598;383582.9422053232;365230;1344;1315;1315;1.08 (+- 0.63);1.0;1.5;2
2;assignment_try_START>assignment_vis_START;1102;690598;459829.4346642468;486166;1842;1102;1102;1.20 (+- 0.57);1.0;1.5;2
2;assignment_try_START>assignment_vis_END;947;690598;584345.6388595565;664245;2462;947;947;1.23 (+- 0.54);1.5;1.5;2
2;assignment_try_START>assignment_try_END;755;690598;591333.1430463577;438134;1620;755;755;1.23 (+- 0.54);1.5;1.5;2
2;assignment_try_START>assignment_sub_END;948;690598;584237.9915611814;537178;1978;948;948;1.23 (+- 0.54);1.5;1.5;2
2;assignment_try_START>resource_vis_START;335;690451;440359.5104477612;9427;46;335;335;1.18 (+- 0.59);1.0;1.5;2
2;assignment_try_START>assignment_try_START;316;690185;317986.15506329114;7652;35;316;316;1.24 (+- 0.55);1.5;1.5;2
2;assignment_try_START>forum_vis_END;225;690506;593215.6711111111;9652;52;225;225;1.27 (+- 0.53);1.5;1.5;2
