sequence_size;sequence;total;total_time_span;avg_time_span;i_support;f_support;s_support;ids;grade_avg;grade_median;grade_mode;max_grade
1;assignment_sub;2025;690554;334722.34814814816;59089;204;2025;2025;1.11 (+- 0.61);1.0;1.0;2
1;assignment_try;1052;690554;413365.7718631179;21382;75;1052;1052;1.20 (+- 0.58);1.0;1.5;2
1;resource_vis;1109;690540;386231.3282236249;34184;118;1109;1109;1.16 (+- 0.59);1.0;1.5;2
1;assignment_vis;1007;690554;414991.4478649454;41469;152;1007;1007;1.18 (+- 0.56);1.0;1.5;2
1;forum_vis;638;690554;440934.9106583072;34720;152;638;638;1.22 (+- 0.55);1.5;1.5;2
1;forum_participation;269;690208;462199.14126394055;10886;56;269;269;1.27 (+- 0.53);1.5;1.5;2
2;assignment_sub>assignment_try;638;690540;500350.6065830721;5512;21;638;638;1.28 (+- 0.52);1.5;1.5;2
2;assignment_sub>assignment_sub;1488;690554;430623.6995967742;21432;75;1488;1488;1.24 (+- 0.53);1.5;1.5;2
2;assignment_sub>forum_vis;426;690227;506989.23004694836;6927;33;426;426;1.28 (+- 0.51);1.5;1.5;2
2;assignment_sub>assignment_vis;617;690237;513417.17179902754;9814;38;617;617;1.23 (+- 0.52);1.5;1.5;2
2;assignment_sub>resource_vis;561;690249;519579.99643493764;7612;30;561;561;1.22 (+- 0.53);1.5;1.5;2
2;assignment_sub>forum_participation;188;689145;514450.1170212766;1420;8;188;188;1.29 (+- 0.51);1.5;1.5;2
2;assignment_try>assignment_sub;1052;690554;413365.7718631179;12781;46;1052;1052;1.20 (+- 0.58);1.0;1.5;2
2;assignment_try>assignment_try;347;690451;523829.6628242075;1400;5;347;347;1.28 (+- 0.52);1.5;1.5;2
2;assignment_try>resource_vis;512;690540;446991.279296875;5007;21;512;512;1.20 (+- 0.58);1.0;1.5;2
2;assignment_try>assignment_vis;367;690451;496550.53950953676;3051;13;367;367;1.21 (+- 0.55);1.5;1.5;2
2;assignment_try>forum_vis;250;690554;501811.768;866;4;250;250;1.29 (+- 0.53);1.5;1.5;2
2;resource_vis>assignment_sub;1109;690540;386231.3282236249;21248;75;1109;1109;1.16 (+- 0.59);1.0;1.5;2
2;resource_vis>forum_vis;347;690540;476028.1873198847;4471;21;347;347;1.24 (+- 0.54);1.5;1.5;2
2;resource_vis>assignment_vis;446;690451;495070.9260089686;7385;30;446;446;1.21 (+- 0.53);1.5;1.5;2
2;resource_vis>resource_vis;464;690540;488830.5560344828;6868;27;464;464;1.21 (+- 0.55);1.5;1.5;2
2;resource_vis>assignment_try;457;690540;463483.8577680525;4489;18;457;457;1.24 (+- 0.58);1.5;1.5;2
2;assignment_vis>resource_vis;837;690540;412951.60692951013;14680;53;837;837;1.17 (+- 0.57);1.0;1.5;2
2;assignment_vis>forum_vis;521;690554;458607.452975048;12518;54;521;521;1.23 (+- 0.53);1.5;1.5;2
2;assignment_vis>assignment_vis;439;690319;490316.68109339406;8972;39;439;439;1.22 (+- 0.53);1.5;1.5;2
2;assignment_vis>assignment_sub;1007;690554;414991.4478649454;24728;93;1007;1007;1.18 (+- 0.56);1.0;1.5;2
2;assignment_vis>forum_participation;220;690208;487309.3409090909;1992;10;220;220;1.28 (+- 0.51);1.5;1.5;2
2;assignment_vis>assignment_try;443;690554;466849.53498871333;5263;22;443;443;1.26 (+- 0.54);1.5;1.5;2
2;forum_vis>assignment_vis;340;690540;493940.80294117646;6032;29;340;340;1.24 (+- 0.53);1.5;1.5;2
2;forum_vis>resource_vis;343;690540;466498.22157434403;3718;17;343;343;1.20 (+- 0.58);1.5;1.5;2
2;forum_vis>assignment_sub;638;690554;440934.9106583072;18842;83;638;638;1.22 (+- 0.55);1.5;1.5;2
2;forum_vis>forum_vis;400;690554;466518.55;14410;70;400;400;1.26 (+- 0.54);1.5;1.5;2
2;forum_vis>forum_participation;268;690208;461663.197761194;7222;38;268;268;1.27 (+- 0.53);1.5;1.5;2
2;forum_vis>assignment_try;296;690554;491332.2364864865;1744;8;296;296;1.28 (+- 0.52);1.5;1.5;2
2;forum_participation>forum_vis;249;690208;463848.9558232932;6356;34;249;249;1.28 (+- 0.53);1.5;1.5;2
2;forum_participation>assignment_sub;269;690208;462199.14126394055;5443;28;269;269;1.27 (+- 0.53);1.5;1.5;2
