sequence_size;sequence;total;total_time_span;avg_time_span;i_support;f_support;s_support;ids;grade_avg;grade_median;grade_mode;max_grade
1;assignment_sub;2025;690598;357131.82666666666;288281;1046;2025;2025;1.11 (+- 0.61);1.0;1.0;2
1;assignment_vis;1848;690598;381584.3262987013;332008;1203;1848;1848;1.14 (+- 0.60);1.0;1.5;2
1;assignment_try;1054;690554;433893.93548387097;96872;358;1054;1054;1.20 (+- 0.58);1.0;1.5;2
1;resource_vis;1109;690598;394382.9314697926;148251;566;1109;1109;1.16 (+- 0.59);1.0;1.5;2
1;forum_vis;638;690598;448457.1630094044;150713;686;638;638;1.22 (+- 0.55);1.5;1.5;2
1;forum_participation;269;690266;465723.7063197026;34530;182;269;269;1.27 (+- 0.53);1.5;1.5;2
2;assignment_sub>assignment_vis;1355;690598;466247.6376383764;119877;431;1355;1355;1.25 (+- 0.53);1.5;1.5;2
2;assignment_sub>assignment_try;638;690540;513216.3448275862;23454;91;638;638;1.28 (+- 0.52);1.5;1.5;2
2;assignment_sub>assignment_sub;1489;690598;450439.2055070517;104909;374;1489;1489;1.24 (+- 0.54);1.5;1.5;2
2;assignment_sub>forum_vis;426;690506;517458.0117370892;23680;110;426;426;1.28 (+- 0.51);1.5;1.5;2
2;assignment_sub>resource_vis;561;690528;524485.5240641711;25143;105;561;561;1.22 (+- 0.53);1.5;1.5;2
2;assignment_sub>forum_participation;188;690266;519467.55319148937;2124;12;188;188;1.29 (+- 0.51);1.5;1.5;2
2;assignment_vis>assignment_vis;1609;690598;411935.8949658173;233195;855;1609;1609;1.18 (+- 0.57);1.0;1.5;2
2;assignment_vis>assignment_try;908;690554;447504.28524229076;60117;230;908;908;1.22 (+- 0.57);1.5;1.5;2
2;assignment_vis>assignment_sub;1848;690598;381584.3262987013;213322;776;1848;1848;1.14 (+- 0.60);1.0;1.5;2
2;assignment_vis>resource_vis;953;690598;411370.6537250787;90059;353;953;953;1.17 (+- 0.58);1.0;1.5;2
2;assignment_vis>forum_vis;562;690598;463499.48754448397;76862;351;562;562;1.24 (+- 0.53);1.5;1.5;2
2;assignment_vis>forum_participation;235;690266;482517.47659574467;9070;48;235;235;1.29 (+- 0.50);1.5;1.5;2
2;assignment_try>assignment_sub;1054;690554;433893.93548387097;58730;220;1054;1054;1.20 (+- 0.58);1.0;1.5;2
2;assignment_try>assignment_vis;757;690554;476526.536327609;46292;181;757;757;1.22 (+- 0.56);1.5;1.5;2
2;assignment_try>assignment_try;348;690451;535560.9252873564;6327;29;348;348;1.27 (+- 0.52);1.5;1.5;2
2;assignment_try>resource_vis;512;690540;462288.2734375;16089;69;512;512;1.20 (+- 0.58);1.0;1.5;2
2;assignment_try>forum_vis;250;690554;512492.128;2378;12;250;250;1.29 (+- 0.53);1.5;1.5;2
2;resource_vis>assignment_sub;1109;690598;394382.9314697926;93630;362;1109;1109;1.16 (+- 0.59);1.0;1.5;2
2;resource_vis>resource_vis;633;690598;454073.87361769355;38528;164;633;633;1.18 (+- 0.57);1.0;1.5;2
2;resource_vis>forum_vis;347;690598;481571.1268011527;13251;65;347;347;1.24 (+- 0.54);1.5;1.5;2
2;resource_vis>assignment_vis;828;690598;444857.2041062802;82567;328;828;828;1.21 (+- 0.56);1.5;1.5;2
2;resource_vis>assignment_try;457;690540;466188.8533916849;15214;66;457;457;1.24 (+- 0.58);1.5;1.5;2
2;forum_vis>forum_vis;516;690598;459725.3507751938;100216;477;516;516;1.25 (+- 0.53);1.5;1.5;2
2;forum_vis>assignment_vis;509;690598;475329.81139489193;60495;280;509;509;1.27 (+- 0.52);1.5;1.5;2
2;forum_vis>resource_vis;343;690598;469578.26822157437;10074;49;343;343;1.20 (+- 0.58);1.5;1.5;2
2;forum_vis>assignment_sub;638;690598;448457.1630094044;81961;374;638;638;1.22 (+- 0.55);1.5;1.5;2
2;forum_vis>forum_participation;268;690266;465200.9141791045;27456;146;268;268;1.27 (+- 0.53);1.5;1.5;2
2;forum_vis>assignment_try;296;690554;495795.14864864864;5350;26;296;296;1.28 (+- 0.52);1.5;1.5;2
2;forum_participation>forum_vis;249;690266;467597.1967871486;21674;118;249;249;1.28 (+- 0.53);1.5;1.5;2
2;forum_participation>assignment_sub;269;690266;465723.7063197026;17265;91;269;269;1.27 (+- 0.53);1.5;1.5;2
2;forum_participation>assignment_vis;200;690238;501529.46;3294;18;200;200;1.33 (+- 0.50);1.5;1.5;2
