id,userid,t,component,action,target,objectid,objecttable,courseid,relateduserid,extra_info,crud,assignment_id
166069621,138379,1574132687,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166069727,137028,1574132707,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166070242,91336,1574132989,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166070247,91336,1574132994,mod_quiz,started,attempt,2378102.0,quiz_attempts,2060,91336.0,N;,c,12842.0
166070335,45138,1574133047,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166070687,138897,1574133178,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166070717,123054,1574133195,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166070726,123054,1574133199,mod_quiz,started,attempt,2378109.0,quiz_attempts,2060,123054.0,N;,c,12842.0
166071746,124008,1574133767,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166071882,124008,1574133842,mod_quiz,started,attempt,2378122.0,quiz_attempts,2060,124008.0,N;,c,12842.0
166072532,121133,1574134285,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166073120,137028,1574134688,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166073362,68837,1574134836,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166073364,68837,1574134845,mod_quiz,started,attempt,2378137.0,quiz_attempts,2060,68837.0,N;,c,12842.0
166073567,124008,1574134991,mod_quiz,submitted,attempt,2378122.0,quiz_attempts,2060,124008.0,"a:2:{s:11:""submitterid"";s:6:""124008"";s:6:""quizid"";s:5:""12842"";}",u,12842.0
166073590,124008,1574135011,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
166074394,121048,1574135693,mod_quiz,viewed,course_module,12842.0,quiz,2060,,N;,r,12842.0
